fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,31,UTTAR PRADESH,3109,BIJNOR,139821,712124.333333333,1,0,0,45,1018,19649,3,1,111853,0,1024,0,21.36373,3,3,178847,260714,0,266566,369951,19694,21.36373,3,12,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3110,MORADABAD,77493,822993.21,1,0,0,89,590,15382,3,1,30747,0,110,0,24.6897963,3,3,107008,146742,0,190379,263028,15471,24.6897963,0,18,99.88,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3112,SAHARANPUR,61955,819675.643333333,1,0,0,101,727,13518,3,1,65795,0,276,0,24.5902693,2,3,84928,126905,0,163599,226151,13619,24.5902693,2,22,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,23951,0,0,0,0,44,496,5118,0,0,10995,0,74,0,0.01896,0,0,31568,39851,0,78820,94252,5162,0.01896,0,7,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3119,MATHURA,62463,0,0,0,0,6,478,12537,0,0,36046,0,231,0,6.9341276,0,0,88367,118904,0,141370,188531,12543,6.9341276,0,13,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3125,BAREILLY,180182,260708.213333333,1,0,0,51,1074,24194,6,0,53014,0,157,0,15.6424928,6,6,159605,234039,0,277014,380605,24245,15.6424928,1,27,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3126,PILIBHIT,96788,0,0,0,0,77,648,16643,0,0,38742,0,571,0,16.1040211,0,0,136893,213876,0,243029,356713,16720,16.1040211,0,18,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3139,JHANSI,287805,0,0,0,0,6,411,16472,0,0,54758,0,1320,0,31.8947539,0,0,102836,164374,0,188338,291883,16478,31.8947539,0,38,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3141,HAMIRPUR,360562,0,0,0,0,0,317,14128,0,0,40326,0,72,0,3.12273,0,0,112646,181902,0,176057,282362,14128,3.12273,0,40,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3144,PRATAPGARH,341639,0,0,0,0,112,943,25445,0,0,93838,0,535,0,104.1012431,0,0,193184,246486,0,352884,447839,25557,104.1012431,0,24,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3146,BAHRAICH,1035660,99971.4449253732,1,0,0,192,860,36410,67,3,68751,0,2286,0,66.9808681,40,41,271252,337077,0,427007,518806,36602,66.9808681,41,54,96.86,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3147,GONDA,339514,229092.59962963,1,0,0,71,963,23539,27,11,49959,0,261,0,61.8550019,25,27,154991,197451,0,326173,409183,23610,61.8550019,20,22,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3150,SULTANPUR,471456,4153214.955,1,0,0,97,809,22819,2,0,64895,0,518,0,83.0642991,2,2,204435,244076,0,338832,404160,22916,83.0642991,2,26,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3157,AZAMGARH,907226,6178383.01,1,0,0,29,1628,30003,2,2,138526,0,804,0,123.5676602,2,2,266373,361115,0,456469,627586,30032,123.5676602,0,23,19.88,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3159,BALLIA,83848,0,0,0,0,43,888,21299,0,0,43034,0,6940,0,29.0588825,0,0,151343,189845,0,307715,370940,21342,29.0588825,0,15,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3163,SONBHADRA,199065,0,0,0,0,53,495,15599,0,0,76719,0,77440,0,18.6384162,0,0,163421,255203,0,274392,413678,15652,18.6384162,0,43,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3170,KAUSHAMBI,67983,0,0,0,0,2,444,11706,0,0,49074,0,69,0,6.38952,0,0,75870,105776,0,140162,185693,11708,6.38952,0,38,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,274414,0,0,0,0,230,815,23105,0,0,75170,0,439,0,21.9260227,0,0,146618,196533,0,265146,339944,23335,21.9260227,0,24,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3149,AYODHYA,224489,6211.60793470546,4,1,0,1182,298,20530,2818,672,70192,0,251,0,175.0431116,674,699,127031,178532,0,232065,309327,21712,175.0431116,1155,17,20.59,4.09,100,NA
2025-2026,April,31,UTTAR PRADESH,3153,BASTI,1067638,171800.883636364,2,0,0,88,787,27096,110,16,94844,0,46,0,188.980972,40,40,281313,354080,0,408337,507507,27184,188.980972,46,17,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3172,KUSHI NAGAR,290061,9546.77601759531,4,1,0,253,606,24145,1705,370,66287,25,1791,0,162.7725311,371,396,181795,254685,0,375663,505322,24398,162.7725311,533,12,17.01,1.22,100,NA
2025-2026,April,31,UTTAR PRADESH,3177,CHITRAKOOT,90288,9519.47364341085,2,0,0,44,269,12855,129,79,57889,0,26,0,12.280121,47,57,79380,131573,0,142452,228162,12899,12.280121,69,55,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,274414,4674.14148760331,5,0,0,642,684,22839,1331,239,75225,14,439,0,62.2128232,243,272,146816,196804,0,265835,340878,23481,62.2128232,685,24,4.58,38.46,100,NA
2025-2026,April,31,UTTAR PRADESH,3179,MAHOBA,75986,48540.33,8,0,0,22,252,8715,8,0,21485,0,91,0,3.8832264,1,2,44529,80957,0,96113,162397,8737,3.8832264,3,39,100,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3118,ALIGARH,61861,501.577313047963,5,85,0,55,484,17236,13573,2743,37181,19,199,0,68.0790887,2573,2780,116731,150938,0,196425,247449,17291,68.0790887,5065,20,10.68,10.32,100,NA
2025-2026,April,31,UTTAR PRADESH,3122,ETAH,34539,340.298120727184,11,8,0,496,452,12332,32619,4552,20802,18,53,0,111.001844,2843,2936,82739,104350,0,145269,180734,12828,111.001844,16158,10,58.8,54.74,100,NA
2025-2026,April,31,UTTAR PRADESH,3123,MAINPURI,288925,412.438801267203,13,5,0,235,276,13896,29356,10082,43160,262,318,0,121.0755345,2213,2332,123415,162242,0,198866,253138,14131,121.0755345,12450,26,53.99,69.95,100,NA
2025-2026,April,31,UTTAR PRADESH,3130,HARDOI,361775,1432.62930420812,9,17,0,1358,868,35728,16183,5053,105776,0,442,0,231.8424003,1775,1864,234621,315628,0,451598,586203,37086,231.8424003,6069,17,31.37,59.04,100,NA
2025-2026,April,31,UTTAR PRADESH,3146,BAHRAICH,1035660,720.926973419631,11,46,0,632,465,36251,31828,6755,68792,9,2288,0,229.4566371,2690,2853,271489,337386,0,428264,520342,36883,229.4566371,14342,54,27.37,44.68,100,NA
2025-2026,April,31,UTTAR PRADESH,3148,BARABANKI,517161,764.172724517566,8,6,0,386,710,25949,32336,13337,121266,30,118,0,247.1028922,3784,4107,202979,276608,0,376430,491796,26335,247.1028922,9669,15,31.83,59.46,100,NA
2025-2026,April,31,UTTAR PRADESH,3150,SULTANPUR,471456,1305.03719121392,11,11,0,510,597,22449,18848,4040,70153,141,573,0,245.9734098,1571,1640,204659,267055,0,341525,444794,22959,245.9734098,10054,26,13.2,33.54,100,NA
2025-2026,April,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,985471,652.971629567267,8,6,0,763,830,22013,29695,8318,79994,0,14,0,193.8999254,3622,3879,256636,340387,0,381250,497013,22776,193.8999254,17059,14,42.69,65.32,100,NA
2025-2026,April,31,UTTAR PRADESH,3156,MAU,292755,927.025195575504,10,18,0,1097,270,16373,18714,6378,67988,460,2580,0,173.4834951,1732,1823,140801,187527,0,250065,317886,17470,173.4834951,10262,22,21.24,57.79,100,NA
2025-2026,April,31,UTTAR PRADESH,3162,MIRZAPUR,236706,465.58344169558,7,31,0,218,588,22735,13258,4876,95645,183,2412,0,61.7270526999999,1729,1940,142503,216246,0,273261,393164,22953,61.7270526999999,6803,37,37.21,64.06,100,NA
2025-2026,April,31,UTTAR PRADESH,3166,HATHRAS,26606,1155.98553100061,5,4,0,116,342,6315,1629,607,21534,0,51,0,18.8310043,299,333,47492,64738,0,80629,104412,6431,18.8310043,450,4,90.76,91.98,100,NA
2025-2026,April,31,UTTAR PRADESH,3168,KANNAUJ,117926,2221.15827711942,5,7,0,235,258,12216,2194,717,37913,0,19,0,48.7322126,382,396,88799,113924,0,139456,173502,12451,48.7322126,1379,21,76.42,79.03,100,NA
