fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,31,UTTAR PRADESH,3169,AURAIYA,141327,718.713029438191,10,1,0,157,382,12650,18921,4961,43225,31,355,0,135.9876923,1724,1807,83366,104755,0,139055,168480,12807,135.9876923,7770,16,25.21,26.45,100,NA
2025-2026,April,31,UTTAR PRADESH,3175,BALRAMPUR,336328,586.772314018692,9,16,0,65,519,21328,10700,2156,41114,225,3304,0,62.7846376,1106,1187,129881,163998,0,183405,225681,21393,62.7846376,5794,20,16.75,30.21,100,NA
2025-2026,April,31,UTTAR PRADESH,3177,CHITRAKOOT,90288,459.928661910938,8,9,0,261,226,12647,4626,1914,57898,7,26,0,21.2762999,550,659,79392,131597,0,142585,228374,12908,21.2762999,2293,55,5.57,30.46,100,NA
2025-2026,April,31,UTTAR PRADESH,3180,KASHGANJ,53976,2022.8699305073,3,6,0,222,296,7825,1439,220,25469,0,87,0,29.1090983,371,402,79035,112138,0,113946,155114,8047,29.1090983,377,9,0.75,0.75,100,NA
2025-2026,April,31,UTTAR PRADESH,3183,SHAMLI,6744,1133.235065,19,5,0,104,128,4224,2000,171,3377,0,52,0,22.6647013,105,183,16452,21188,0,46923,56429,4328,22.6647013,969,10,7.75,8.69,100,NA
2025-2026,April,31,UTTAR PRADESH,3117,BULANDSHAHR,16116,490.038375527426,9,1,0,92,885,9887,1896,549,9101,0,38,0,9.2911276,191,194,34939,43548,0,82393,101258,9979,9.2911276,881,7,8.35,16.63,100,NA
2025-2026,April,31,UTTAR PRADESH,3118,ALIGARH,61861,492.889027222962,5,85,0,55,486,17233,13518,2743,37181,13,199,0,66.6287387,2563,2769,116731,150938,0,196425,247449,17288,66.6287387,5065,20,10.62,10.26,100,NA
2025-2026,April,31,UTTAR PRADESH,3121,FIROZABAD,273904,5533.59083150985,4,0,0,452,471,14174,457,236,34149,0,208,0,25.2885101,94,101,107160,132525,0,157443,192151,14626,25.2885101,255,18,4.82,20.14,100,NA
2025-2026,April,31,UTTAR PRADESH,3123,MAINPURI,288925,447.690586856264,13,5,0,230,280,13887,26020,9212,43159,7,318,0,116.4890907,1988,2093,123413,162240,0,198822,253066,14117,116.4890907,11433,26,53.95,69.79,100,NA
2025-2026,April,31,UTTAR PRADESH,3124,BUDAUN,205520,680.567156385521,7,13,0,191,777,18177,11299,2331,34338,5,158,0,76.897283,1461,1516,132258,170734,0,233955,294916,18368,76.897283,3686,15,31.58,34.63,100,NA
2025-2026,April,31,UTTAR PRADESH,3126,PILIBHIT,96788,1401.38930349395,7,2,0,724,506,15942,4379,785,38768,71,572,0,61.3668375999999,565,625,136963,214103,0,244900,359774,16666,61.3668375999999,1726,17,8.13,21.61,100,NA
2025-2026,April,31,UTTAR PRADESH,3128,KHERI,605295,593.537866140537,7,10,0,426,875,28909,19767,5831,136268,176,6411,0,117.32463,2642,2897,247228,365166,0,489808,681012,29335,117.32463,6102,24,40.65,70.38,100,NA
2025-2026,April,31,UTTAR PRADESH,3130,HARDOI,361775,1682.0307445181,8,11,0,1295,871,35776,13727,4123,105776,0,442,0,230.8923603,1574,1662,234621,315623,0,451507,586033,37071,230.8923603,4822,17,27.87,55.19,100,NA
2025-2026,April,31,UTTAR PRADESH,3135,ETAWAH,56603,2078.89002220249,5,2,0,116,334,10357,2252,762,35894,7,134,0,46.8166033,392,399,77455,97660,0,137012,165298,10473,46.8166033,567,28,21.1,26.78,100,NA
2025-2026,April,31,UTTAR PRADESH,3138,JALAUN,526681,1157.93311842764,11,13,0,103,430,22024,7988,3117,82057,0,64,0,92.4956975,721,912,175916,258284,0,226583,326266,22127,92.4956975,3178,33,59.73,53.5,100,NA
2025-2026,April,31,UTTAR PRADESH,3142,BANDA,214974,541.295763918312,12,59,0,493,179,16193,11801,2222,45993,0,44,0,63.8783131,947,1073,119576,192548,0,227692,353120,16686,63.8783131,6747,52,8.24,23.04,100,NA
2025-2026,April,31,UTTAR PRADESH,3143,FATEHPUR,277077,4037.20999123576,6,3,0,566,559,16013,3423,1131,69194,19,120,0,138.193698,495,515,149969,187434,0,264272,321281,16579,138.193698,1335,21,25.3,25.05,100,NA
2025-2026,April,31,UTTAR PRADESH,3149,AYODHYA,224489,837.487063988661,6,6,0,2029,252,19893,28927,9215,70213,71,251,0,242.259883,4701,4897,127074,178598,0,232195,309490,21922,242.259883,12652,17,34.95,49.15,100,NA
2025-2026,April,31,UTTAR PRADESH,3154,GORAKHPUR,599513,860.05171811112,9,8,0,469,820,22992,24946,8456,87190,11,325,0,214.5485016,2591,2711,184256,247709,0,345403,445861,23461,214.5485016,13545,17,21,30.58,100,NA
2025-2026,April,31,UTTAR PRADESH,3155,DEORIA,179947,2206.2058170204,8,0,0,112,884,18523,4853,938,37682,207,5555,0,107.0671683,556,574,120983,151759,0,222300,275829,18635,107.0671683,2094,12,50.86,57.21,100,NA
2025-2026,April,31,UTTAR PRADESH,3156,MAU,292755,1015.22583564228,10,16,0,1055,272,16405,16963,5543,67933,445,2578,0,172.2127585,1619,1705,140801,187401,0,250059,317651,17460,172.2127585,9104,22,23.28,63.35,100,NA
2025-2026,April,31,UTTAR PRADESH,3160,GHAZIPUR,395993,1794.28424064768,11,12,0,1392,1032,24658,3582,716,93577,69,3393,0,64.2712615,306,324,278948,369894,0,456406,590895,26050,64.2712615,2923,18,61.49,61.19,100,NA
2025-2026,April,31,UTTAR PRADESH,3169,AURAIYA,141327,5294.0670268725,6,0,0,116,387,12674,1749,574,43210,21,355,0,92.5932323,258,279,83338,104701,0,138979,168376,12790,92.5932323,483,16,84.84,17.46,100,NA
2025-2026,April,31,UTTAR PRADESH,3175,BALRAMPUR,336328,844.101479452055,8,15,0,58,547,21319,6935,1625,40994,16,3223,0,58.5384376,813,848,129873,163359,0,183386,224827,21377,58.5384376,3607,20,2.45,2.76,100,NA
2025-2026,April,31,UTTAR PRADESH,3177,CHITRAKOOT,90288,500.854517419962,8,7,0,240,226,12665,4248,1620,57895,7,26,0,21.2762999,523,632,79389,131593,0,142575,228363,12905,21.2762999,2041,55,6.03,32.94,100,NA
2025-2026,April,31,UTTAR PRADESH,3109,BIJNOR,139821,897.748065435786,5,6,0,196,877,19515,7366,3239,111880,14,1023,0,66.1281225,1331,1555,178873,260777,0,266763,370246,19711,66.1281225,2719,12,39.66,19.61,100,NA
2025-2026,April,31,UTTAR PRADESH,3127,SHAHJAHANPUR,241743,3026.08058715596,2,9,0,398,787,18370,1635,488,66897,1,82,0,49.4764176,570,594,160621,225778,0,338753,441911,18768,49.4764176,743,19,1.04,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3131,UNNAO,131546,959.42586053218,6,2,0,410,801,19623,7629,2244,59691,0,283,0,73.1945989,1237,1279,121367,161182,0,268342,343752,20033,73.1945989,2408,23,46.57,29.03,100,NA
2025-2026,April,31,UTTAR PRADESH,3134,FARRUKHABAD,54121,8668.65857142857,3,0,0,339,522,10324,98,13,21959,0,8,0,8.4952854,32,32,69130,88751,0,112971,139256,10663,8.4952854,77,17,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3139,JHANSI,287805,3624.56255432966,6,17,0,107,301,16427,2991,960,54890,6,1323,0,108.410666,471,577,103075,164791,0,188878,292781,16534,108.410666,1357,38,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3141,HAMIRPUR,360562,11801,3,0,0,55,298,14071,57,0,40327,0,72,0,6.72657,17,19,112653,181925,0,176481,283038,14126,6.72657,18,40,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,985471,3261.66077471483,5,1,0,507,939,22136,4208,1820,79599,0,14,0,137.2506854,773,827,256678,338779,0,381194,494769,22643,137.2506854,2408,14,62.3,20.92,100,NA
2025-2026,April,31,UTTAR PRADESH,3158,JAUNPUR,900276,6153.4700150376,3,43,0,924,1286,36774,1995,715,140675,0,27,0,122.7617268,581,582,294473,390637,0,478069,630003,37698,122.7617268,1189,35,34.56,0.03,100,NA
2025-2026,April,31,UTTAR PRADESH,3168,KANNAUJ,117926,7184.50430577223,3,6,0,179,295,12210,641,211,37911,0,19,0,46.0526726,198,202,88787,113902,0,139342,173318,12389,46.0526726,432,20,80.96,0.72,100,NA
2025-2026,April,31,UTTAR PRADESH,3170,KAUSHAMBI,67983,27813.1764705882,1,0,0,118,352,11615,68,41,49087,0,69,0,18.91296,38,42,75895,105813,0,140336,185909,11733,18.91296,21,38,45.59,7.35,100,NA
2025-2026,April,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,420859,6156.18795090715,4,20,0,1239,517,18566,1874,459,74395,4,193,0,115.3669622,394,395,177191,222075,0,261583,328134,19805,115.3669622,1137,35,31.52,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3180,KASHGANJ,53976,4384.98209935897,2,1,0,114,309,7930,624,154,25470,0,87,0,27.3622883,228,249,79038,112138,0,113935,155094,8044,27.3622883,144,9,1.82,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3181,AMETHI,157893,10674.9136695279,4,3,0,171,498,16517,466,162,54049,0,12,0,49.7450977,115,117,128940,177628,0,229140,299769,16688,49.7450977,175,23,8.15,37.3,100,NA
2025-2026,April,31,UTTAR PRADESH,3183,SHAMLI,6744,9320.24371559633,9,1,0,85,131,4241,218,0,3377,0,52,0,20.3181313,24,53,16449,21181,0,46891,56386,4326,20.3181313,100,10,29.65,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3184,SAMBHAL,31161,2697.188722334,5,3,0,125,543,14965,994,179,35114,0,54,0,26.8100559,175,180,90303,116333,0,148513,186556,15090,26.8100559,440,10,0.88,2.79,100,NA
2025-2026,April,31,UTTAR PRADESH,3123,MAINPURI,288925,35286.5988448845,1,2,0,151,322,13825,303,65,43140,0,318,0,106.9183945,164,171,123392,162183,0,198720,252846,13976,106.9183945,123,25,8.97,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3132,LUCKNOW,21635,1223.49122615804,4,0,0,49,402,10738,734,500,47555,4,223,0,8.9804256,150,163,49227,72712,0,130000,193187,10787,8.9804256,172,12,31.43,16.74,100,NA
2025-2026,April,31,UTTAR PRADESH,3137,KANPUR NAGAR,40020,458.080723039216,6,5,0,232,460,9465,2448,769,32836,28,847,0,11.2138161,400,409,54655,77947,0,117402,155981,9697,11.2138161,1377,18,2.76,13.68,100,NA
2025-2026,April,31,UTTAR PRADESH,3140,LALITPUR,337588,8491.81828793774,4,0,0,190,335,17559,257,50,54702,37,15081,0,21.823973,60,76,126310,214296,0,187974,306365,17749,21.823973,144,40,6.04,5.9,100,NA
2025-2026,April,31,UTTAR PRADESH,3142,BANDA,214974,30493.3322727273,2,0,0,422,270,16233,132,31,45991,0,44,0,40.2511986,63,72,119564,192518,0,227481,352760,16655,40.2511986,54,52,3.14,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3144,PRATAPGARH,341639,27891.7534676007,4,2,0,432,658,25231,1142,469,93951,0,535,0,318.5238246,274,282,193534,246944,0,354136,449421,25663,318.5238246,441,24,75.68,8.58,100,NA
2025-2026,April,31,UTTAR PRADESH,3145,PRAYAGRAJ,227037,1294.65296883853,4,6,0,176,1271,28579,3530,1678,149548,0,136,0,45.7012498,759,827,218483,316403,0,455369,627373,28755,45.7012498,1176,21,17.06,4.08,100,NA
2025-2026,April,31,UTTAR PRADESH,3146,BAHRAICH,1035660,25230.3182068966,2,12,0,520,633,36137,725,176,68772,1,2286,0,182.919807,271,298,271345,337217,0,427727,519732,36657,182.919807,417,54,39.33,0.11,100,NA
2025-2026,April,31,UTTAR PRADESH,3150,SULTANPUR,471456,58429.1788888889,2,1,0,376,658,22531,387,56,68810,0,559,0,226.1209223,133,137,204617,261501,0,340338,433677,22907,226.1209223,226,26,2.56,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,985471,3270.8838296837,5,1,0,448,992,22194,4110,1792,79529,0,14,0,134.4333254,753,807,256678,338306,0,381124,494055,22642,134.4333254,2365,14,65.9,21.8,100,NA
2025-2026,April,31,UTTAR PRADESH,3153,BASTI,1067638,132766.827777778,2,0,0,262,766,26890,144,34,94844,0,46,0,191.184232,62,63,281305,354086,0,408436,507667,27152,191.184232,64,16,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3154,GORAKHPUR,599513,7031.33259079903,5,1,0,353,874,22992,2478,733,86936,0,325,0,174.2364216,481,518,184244,247157,0,344966,444167,23345,174.2364216,1112,17,3.11,8.71,100,NA
2025-2026,April,31,UTTAR PRADESH,3156,MAU,292755,8815.87526829268,3,6,0,610,323,16748,1640,290,67485,82,2554,0,144.5803544,411,431,140779,186051,0,250022,315642,17358,144.5803544,891,22,14.39,1.73,100,NA
2025-2026,April,31,UTTAR PRADESH,3158,JAUNPUR,900276,6387.19159979156,3,43,0,914,1293,36778,1919,703,140674,0,27,0,122.5702068,568,569,294473,390634,0,477987,629836,37692,122.5702068,1125,35,30.11,0.03,100,NA
2025-2026,April,31,UTTAR PRADESH,3166,HATHRAS,26606,5507.97315602837,3,0,0,24,369,6415,282,90,21540,0,51,0,15.5324843,79,88,47498,64739,0,80610,104386,6439,15.5324843,32,4,0.3,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3170,KAUSHAMBI,67983,27813.1764705882,1,0,0,118,352,11613,68,41,49087,0,69,0,18.91296,38,42,75895,105813,0,140332,185904,11731,18.91296,21,38,45.59,7.35,100,NA
2025-2026,April,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,274414,4007.81768985322,5,0,0,748,683,22806,1567,239,75226,14,439,0,62.8025032,275,304,146817,196807,0,265992,341075,23554,62.8025032,836,24,4.53,33.59,100,NA
2025-2026,April,31,UTTAR PRADESH,3184,SAMBHAL,31161,2697.188722334,5,3,0,125,543,14965,994,179,35117,0,54,0,26.8100559,175,180,90314,116346,0,148505,186548,15090,26.8100559,440,10,0.88,2.79,100,NA
2025-2026,April,31,UTTAR PRADESH,3121,FIROZABAD,273904,0,0,0,0,16,554,14573,0,0,34097,0,208,0,2.29416,0,0,107164,132187,0,157150,191105,14589,2.29416,0,18,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3126,PILIBHIT,96788,0,0,0,0,33,701,16682,0,0,38740,0,571,0,4.78977,0,0,136882,213850,0,242972,356613,16715,4.78977,0,18,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3127,SHAHJAHANPUR,241743,1022135.47,1,0,0,40,1024,18700,1,0,66883,0,82,0,10.2213547,1,1,160497,225623,0,337138,439830,18740,10.2213547,1,20,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3129,SITAPUR,429805,0,0,0,0,25,1490,37820,0,0,186339,0,371,0,57.9077765,0,0,319807,466705,0,646704,898910,37845,57.9077765,0,27,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3139,JHANSI,287805,0,0,0,0,0,455,16463,0,0,54730,0,1320,0,16.7074234,0,0,102741,164204,0,188273,291765,16463,16.7074234,0,38,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3147,GONDA,339514,0,0,0,0,46,1047,23558,0,0,49964,0,261,0,37.3350033,0,0,154990,197437,0,326127,409046,23604,37.3350033,0,22,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3149,AYODHYA,224489,0,0,0,0,24,629,20746,0,0,70056,0,250,0,42.8471132,0,0,126749,178141,0,231965,309190,20770,42.8471132,0,17,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3157,AZAMGARH,907226,0,0,0,0,10,1715,30004,0,0,138435,0,803,0,58.2850757,0,0,266220,360850,0,456404,627411,30014,58.2850757,0,23,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3158,JAUNPUR,900276,0,0,0,0,61,1627,37182,0,0,140620,0,27,0,21.2992792,0,0,294483,390446,0,477320,628343,37243,21.2992792,0,35,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3160,GHAZIPUR,395993,0,0,0,0,16,1220,25827,0,0,93481,0,3391,0,6.5145522,0,0,278772,369538,0,454145,587643,25843,6.5145522,0,17,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3162,MIRZAPUR,236706,0,0,0,0,6,767,22898,0,0,95607,0,2410,0,6.5137049,0,0,142456,216154,0,273034,392818,22904,6.5137049,0,37,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,420859,0,0,0,0,18,704,19943,0,0,74270,0,192,0,13.84554,0,0,177074,221786,0,260888,326824,19961,13.84554,0,35,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3176,SHRAVASTI,177462,0,0,0,0,78,365,10013,0,0,29997,0,1048,0,5.631,0,0,74715,107421,0,123399,168323,10091,5.631,0,24,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3120,AGRA,169365,0,0,0,0,9,633,14233,0,0,50115,0,705,0,33.225548,0,0,117078,166366,0,183309,251395,14242,33.225548,0,24,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3127,SHAHJAHANPUR,241743,20089.5006306306,1,2,0,68,938,18685,111,20,66900,1,82,0,22.2993457,93,100,160549,225695,0,337430,440231,18753,22.2993457,64,20,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3129,SITAPUR,429805,0,0,0,0,1489,1362,36603,0,0,186444,0,371,0,125.628207,0,0,319952,466917,0,647345,899860,38092,125.628207,0,28,100,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3136,KANPUR DEHAT,79181,0,0,0,0,5,581,14311,0,0,44575,0,106,0,11.57982,0,0,77818,106424,0,157849,205036,14316,11.57982,0,23,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3153,BASTI,1067638,11670168.5,1,0,0,36,870,27104,1,1,94815,0,46,0,116.701685,1,1,281183,353904,0,408101,507113,27140,116.701685,1,17,0,0,100,NA
