fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,June,31,UTTAR PRADESH,3110,MORADABAD,1409968,183.910515399906,26,132,87.47314,1189,11,17369,1391502,274009,38603,929,130,21.6853,2668.27694,53078,61650,132742,178649,12,174008,270022,18558,2559.1185,399210,24,54.3,15.26,100.71,NA
2023-2024,June,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,281204,187.267727992621,22,25,22.31054,408,53,7781,279713,82747,14992,387,118,9.29887,555.42159,12282,13628,43952,50359,9,74744,116682,8189,523.81218,110488,20,22.6,55.41,104.32,NA
2023-2024,June,31,UTTAR PRADESH,3115,MEERUT,189407,161.083666390366,25,13,5.87866,43,100,6764,189407,81377,14348,434,159,1.39538,312.37778,7370,8030,27596,32549,0,43881,68877,6807,305.10374,74055,13,51.57,3.85,101.83,NA
2023-2024,June,31,UTTAR PRADESH,3120,AGRA,2237895,187.585950158276,32,171,54.04461,1193,5,23099,2231544,634047,56604,10278,844,13.16292,4253.2705456,69361,87101,133205,184732,98,165961,238358,24292,4186.0630156,900251,39,47.78,20.2,100.39,NA
2023-2024,June,31,UTTAR PRADESH,3138,JALAUN,3784257,181.030976619165,37,420,111.02217,3974,2,28697,3783911,1139203,89258,362,11,80.94701,7042.0202177,100909,134529,178759,265414,366,202528,399648,32671,6850.0510377,1458843,41,19.89,44.21,100.16,NA
2023-2024,June,31,UTTAR PRADESH,3139,JHANSI,2022825,180.168057543287,40,210,76.30474,1436,7,27344,2022825,630518,72964,15401,1738,46.31891,3767.10816,50186,68838,131926,208912,597,162220,265615,28780,3644.48451,832362,52,34.6,27.97,100.27,NA
2023-2024,June,31,UTTAR PRADESH,3140,LALITPUR,1969271,198.065990485819,31,146,173.12344,3539,0,31164,1969271,419918,63535,112520,18973,62.04334,4135.6228915,62245,86071,147784,245765,208,177238,319763,34703,3900.4561115,870807,65,23.08,25.62,100.37,NA
2023-2024,June,31,UTTAR PRADESH,3144,PRATAPGARH,2400463,176.087687966863,33,122,55.0254,4790,47,62129,2400463,837776,109740,6004,566,76.29384,4358.2390372,72125,75285,236765,269134,43,311323,391592,66919,4226.9197972,1355769,58,28.36,14.12,103.19,NA
2023-2024,June,31,UTTAR PRADESH,3154,GORAKHPUR,3235915,178.687664115806,34,127,154.60067,4002,25,39138,3235901,1115087,100548,4817,364,116.07595,6052.83253,94017,102054,235912,288664,127,319579,390193,43140,5782.15591,1526765,41,25.45,42.51,99.97,NA
2023-2024,June,31,UTTAR PRADESH,3160,GHAZIPUR,3656784,157.869193185636,27,178,177.6618,2758,12,55021,3651757,844262,112726,35444,3884,64.5664,6007.227513,133504,153618,322800,426672,62,405211,568042,57779,5764.999313,1701569,56,34.57,29.31,99.9,NA
2023-2024,June,31,UTTAR PRADESH,3163,SONBHADRA,2063703,197.403803745016,31,300,187.07643,3908,4,50357,2063703,604876,94126,566284,91294,69.86,4330.76465,66429,87045,203270,310338,166,252342,411536,54265,4073.82822,1086963,73,24.81,25.77,100.19,NA
2023-2024,June,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,917589,201.804005932939,32,29,43.08778,683,18,22823,917589,305408,43263,2215,353,53.3011,1948.12024,28070,32755,80922,108983,9,102480,172805,23506,1851.73136,565375,67,17.45,26.83,100.28,NA
2023-2024,June,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,3406535,178.559425880321,33,116,155.31521,3019,27,48482,3404865,1151930,83989,3150,215,71.44446,6306.467066,102873,112615,201527,240910,223,233069,288258,51501,6079.707396,1887780,55,26.71,39.17,99.74,NA
2023-2024,June,31,UTTAR PRADESH,3176,SHRAVASTI,1389614,200.739893956163,36,117,61.02778,1227,2,17217,1389614,363018,38051,14310,1202,23.20933,2873.74678,38380,45818,92467,129653,219,113412,171401,18444,2789.50967,586316,46,45.21,23.08,100.45,NA
2023-2024,June,31,UTTAR PRADESH,3180,KASHGANJ,1009574,193.611132616331,23,254,79.17487,604,5,12039,1009574,223048,30197,998,92,40.22181,2074.044336,42258,48221,95231,131645,21,108934,156707,12643,1954.647656,274040,24,42.47,12.86,100.4,NA
2023-2024,Oct,31,UTTAR PRADESH,3111,RAMPUR,2727129,213.097238564632,38,214,4714.97318065101,4420,5,19206,2726716,564608,37803,932,65,77.63135,10603.161030151,70028,79156,124800,152445,1213,154095,189505,23626,5810.5564995,645162,28,27.87,26.45,104.46,NA
2023-2024,Oct,31,UTTAR PRADESH,3112,SAHARANPUR,1386840,214.986121723601,26,139,1204.643875472,1798,3,20992,1386469,657783,83207,2801,300,41.09605,4226.455857472,51569,61453,111369,160325,444,159682,221798,22790,2980.715932,540991,29,50.78,20.2,101.08,NA
2023-2024,Oct,31,UTTAR PRADESH,3118,ALIGARH,2517400,218.922112732567,33,181,2850.359954896,3749,1,24188,2517285,608865,45063,3104,245,68.51896,8429.772420396,75986,84829,146994,177605,951,182093,224580,27937,5510.8935055,684415,25,44.5,30.46,99.9,NA
2023-2024,Oct,31,UTTAR PRADESH,3122,ETAH,2475155,223.511102940285,44,172,2441.863067177,5404,3,18312,2474250,452726,25843,665,46,81.56741,8053.653941677,55934,62507,99953,124492,1538,132708,171565,23716,5530.2234645,866385,37,34.08,26.94,101.61,NA
2023-2024,Oct,31,UTTAR PRADESH,3126,PILIBHIT,2361513,221.295395939776,31,511,2681.626667158,6497,1,28527,2361003,347659,48401,5740,611,92.31072,7998.728324158,75215,91353,171819,256280,730,212086,306966,35024,5224.790937,967547,55,17.97,18.06,100.2,NA
2023-2024,Oct,31,UTTAR PRADESH,3129,SITAPUR,7880551,225.746701174453,42,902,8683.924149534,17795,4,75791,7880347,2728870,247950,5715,387,277.01922,26750.566763134,184616,231674,419203,602854,3746,558580,790299,93586,17789.6233936,2704980,62,26.25,20.82,102.98,NA
2023-2024,Oct,31,UTTAR PRADESH,3133,RAE BARELI,3052069,217.565884409965,34,256,6349.34601105,15478,2,35570,3052097,1341822,168515,1341,246,200.70787,13190.37571215,88713,107532,229131,343981,1460,293625,425849,51048,6640.3218311,1376631,44,25.48,20.95,100.47,NA
2023-2024,Oct,31,UTTAR PRADESH,3146,BAHRAICH,8503464,221.320212916939,49,243,4776.772802763,19421,9,75801,8501813,1653678,85810,52467,2325,388.99643,23981.999866163,170279,198040,300082,374062,9456,374056,474541,95222,18816.2306334,3955642,66,28.79,13.39,100.94,NA
2023-2024,Oct,31,UTTAR PRADESH,3152,MAHARAJGANJ,5090739,222.505611837454,36,447,8839.894260023,12301,0,44929,5090723,1161082,90381,27875,2106,154.63949,20321.678108123,139987,168730,277416,399518,3181,343350,494225,57230,11327.1443581,2513360,50,27.43,25.11,100.15,NA
2023-2024,Oct,31,UTTAR PRADESH,3157,AZAMGARH,6497547,223.058036215501,41,316,6311.282982424,21105,14,72707,6496003,2290067,147656,14215,764,289.20748,21090.347186724,154705,166211,326193,376789,1461,416284,499864,93812,14489.8567243,3244653,63,19.31,33.64,100.96,NA
2023-2024,Oct,31,UTTAR PRADESH,3160,GHAZIPUR,6629532,218.899965634503,38,364,5519.796414528,9177,2,51623,6620012,1495466,112892,63343,3897,196.6526,20207.653007528,174151,203231,323585,427533,1192,406902,528927,60800,14491.203993,3050806,57,35.98,23.99,99.83,NA
2023-2024,Oct,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,5922,228.47956771361,16,1,0,0,17,263,5922,2000,348,104,15,0,13.53056,367,378,897,996,0,11326,17561,263,13.53056,1259,12,93.06,2.93,130.68,NA
2023-2024,Oct,31,UTTAR PRADESH,3167,AMROHA,2798677,222.562102785715,39,137,3069.276188514,6401,1,14059,2797451,675344,45228,1413,65,98.88768,9394.229638514,70677,84637,119437,165595,2458,143436,198902,20460,6226.06577,727454,26,38.56,49.91,101.29,NA
2023-2024,Oct,31,UTTAR PRADESH,3168,KANNAUJ,2188645,221.036055422791,38,295,1108.587189264,6405,4,19867,2188919,629429,44840,91,3,79.45196,6026.339363264,56230,62971,102046,128579,1268,127180,164154,26272,4838.300214,578563,44,36.48,22.69,101.44,NA
2023-2024,Oct,31,UTTAR PRADESH,3175,BALRAMPUR,3672915,217.446130899206,38,174,4605.18714772,10476,4,21574,3672719,936436,42837,66491,3363,180.68334,12772.05585202,96575,106688,143250,170326,2168,172056,213871,32050,7986.1853643,1553221,45,49.41,12.99,101.03,NA
2023-2024,Oct,31,UTTAR PRADESH,3176,SHRAVASTI,2133642,227.946964861022,48,190,1671.778258936,3999,0,15443,2133642,551305,38181,16399,1203,44.26707,6579.617508936,43865,52702,93199,130432,1112,114339,160470,19442,4863.57218,901834,47,45.24,17.52,100.41,NA
2023-2024,Oct,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,3353560,215.861359534432,40,146,4681.46192617,5944,0,51906,3357620,1101190,95222,7490,536,172.37498,12101.64108617,83509,96133,183637,242481,1249,235003,305804,57850,7247.80418,1723076,56,35.65,23.49,100.56,NA
2023-2024,Aug,31,UTTAR PRADESH,3109,BIJNOR,2213567,217.071040841167,21,225,2172.987904766,4076,9,26396,2213306,847023,125221,7014,918,113.30459,7090.738865966,105242,126280,207645,294076,220,249723,366770,30472,4804.4463712,677877,30,43.42,17.96,100.5,NA
2023-2024,Aug,31,UTTAR PRADESH,3112,SAHARANPUR,921280,218.798293623564,20,112,1164.394511672,1081,3,20414,921016,439012,83093,2109,295,41.09605,3220.657853672,44098,51096,111112,159949,46,159325,223474,21495,2015.167292,365309,28,51.08,18.39,101.18,NA
2023-2024,Aug,31,UTTAR PRADESH,3115,MEERUT,385901,207.660317703434,33,18,376.667869655,421,14,6964,385863,173961,14450,1282,159,3.08557,1181.037771355,11435,12457,27944,32923,4,44387,65213,7385,801.2843317,148730,18,65.06,4.28,101.31,NA
2023-2024,Aug,31,UTTAR PRADESH,3123,MAINPURI,2335029,216.974258719598,36,143,1351.909865396,3134,3,24066,2334798,609420,49398,3506,336,81.51814,6499.338658496,63122,73813,137129,177707,630,181436,242767,27200,5065.9106531,852851,42,41.74,18.02,99.92,NA
2023-2024,Aug,31,UTTAR PRADESH,3130,HARDOI,4517849,219.256366744155,36,234,4530.368570279,7788,4,59684,4517678,1510919,121076,5565,468,245.42707,14681.092284279,123096,134389,284318,342289,342,387491,528232,67472,9905.296644,1202341,46,26.58,23.32,103.95,NA
2023-2024,Aug,31,UTTAR PRADESH,3142,BANDA,2248665,215.451657503452,39,76,1234.59092677,6096,2,48413,2248665,439173,68981,42,26,98.38448,6177.76142097,57237,76755,162997,262972,631,208607,349436,54509,4844.7860142,1143607,82,39.25,15.6,101.21,NA
2023-2024,Aug,31,UTTAR PRADESH,3144,PRATAPGARH,4007644,205.230999352737,41,158,2858.634094827,10036,29,58981,4007644,1452380,110102,10342,568,191.15401,11274.715936527,97182,101883,238441,270869,923,313881,368778,69017,8224.9278317,2165300,58,31.22,16.65,103.45,NA
2023-2024,Aug,31,UTTAR PRADESH,3145,PRAYAGRAJ,4146291,220.778826250853,38,225,4459.08268805,13076,5,66990,4143134,1627470,197965,1925,190,223.26975,13829.51505325,106729,131071,298699,420267,761,406303,575636,80066,9147.1626152,2132294,65,20.81,25.29,101.98,NA
2023-2024,Aug,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,6962062,228.158112204116,39,252,9268.880374555,5518,11,33574,6960832,1615262,83191,219,14,249.50406,25400.087319455,178238,195660,304639,357135,1004,368691,437025,39092,15881.7028849,3893692,22,22.22,32.15,100.05,NA
2023-2024,Aug,31,UTTAR PRADESH,3155,DEORIA,2508710,223.670695317054,37,121,2158.75727594,5392,60,28002,2508122,571021,44174,83469,6324,168.06229,7936.75348274,66537,70557,155735,177533,601,200599,233312,33394,5609.9339168,1037813,28,43.2,28.08,99.9,NA
2023-2024,Aug,31,UTTAR PRADESH,3160,GHAZIPUR,5658316,218.130215684473,34,217,5182.468327649,6679,2,52620,5650059,1302934,112833,54291,3893,196.6526,17703.606810649,163356,189865,323400,427327,669,406520,536786,59299,12324.485883,2582147,56,40.38,30.28,99.87,NA
2023-2024,Aug,31,UTTAR PRADESH,3166,HATHRAS,763892,211.283331771033,27,27,619.216182823,1360,13,10734,763831,247462,27898,869,63,47.95533,2281.019098723,27560,31964,64448,84429,67,75456,103350,12094,1613.8475859,166977,13,64.35,9.65,100.33,NA
2023-2024,Aug,31,UTTAR PRADESH,3167,AMROHA,2259539,215.749610129765,34,124,2993.305286694,3732,1,15371,2259085,541398,45095,1112,62,98.88768,7966.160046694,64724,76556,119098,165162,569,142974,199562,19103,4873.96708,593174,25,34.4,56.5,100.15,NA
2023-2024,Aug,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,1242796,225.424369727614,37,39,1325.831234501,1195,13,22765,1242796,420732,43377,3519,356,87.2427,4214.638984501,33554,39424,81199,109305,77,102933,150953,23960,2801.56505,744400,67,21.31,28.24,100.37,NA
2023-2024,Aug,31,UTTAR PRADESH,3183,SHAMLI,183242,205.845808599197,29,7,61.3889559,297,2,4918,187157,32699,4462,583,48,2.14279,448.7865859,6322,7322,21275,26176,6,42466,56852,5215,385.25484,61502,15,27.96,32.93,99.8,NA
2023-2024,March,31,UTTAR PRADESH,3111,RAMPUR,4218020,230.202832634952,50,269,5233.19503235101,9798,4,15102,4105206,833385,37983,1437,65,466.77295,15150.268479851,81616,93947,125540,153313,4950,155211,186237,24900,9450.3004975,1006125,29,27.49,23.11,103.51,NA
2023-2024,March,31,UTTAR PRADESH,3120,AGRA,5004558,230.444931283182,53,275,4025.702777192,7190,0,20118,4819417,1349977,56982,19110,851,393.62491,15525.429881092,90784,115841,134739,186750,7853,168487,227619,27308,11106.1021939,1913372,43,45.94,17.46,101,NA
2023-2024,March,31,UTTAR PRADESH,3121,FIROZABAD,4206005,228.984603243471,51,342,4347.527585417,12598,7,14143,4183296,1126365,33031,3547,133,189.04311,14115.674443517,80930,84877,104308,113837,4435,133075,144347,26741,9579.1037481,1720731,29,43.23,15.38,99.95,NA
2023-2024,March,31,UTTAR PRADESH,3122,ETAH,3250694,230.598523469397,52,208,3020.795009477,12357,3,13430,3212524,588588,25902,953,46,362.04755,10790.875469577,61361,68779,100306,124867,4032,133433,163187,25787,7408.0329101,1133103,34,29.36,24.34,101.59,NA
2023-2024,March,31,UTTAR PRADESH,3125,BAREILLY,4127145,229.828894652966,37,1245,2792.875639512,12397,2,31741,4044205,822351,68196,2719,168,976.48173,13064.109018512,107196,131983,215889,301414,3405,260191,354661,44138,9294.751649,932527,46,36.41,12.91,101.33,NA
2023-2024,March,31,UTTAR PRADESH,3147,GONDA,5321471,229.526088711258,51,257,3627.057052277,16601,12,34836,5409708,1312112,63771,4407,231,723.79142,16767.539655377,105045,113727,209090,240223,6109,302319,340558,51437,12416.6911831,2585126,54,28.47,22.53,101.37,NA
2023-2024,March,31,UTTAR PRADESH,3162,MIRZAPUR,4281442,229.631356836824,46,551,4786.706620785,14433,1,28346,4311388,1655486,129260,47157,3237,548.4596,15235.464983685,92787,120634,202181,301138,6123,260068,374696,42779,9900.2987629,2181880,58,39.53,13.26,100.22,NA
2023-2024,March,31,UTTAR PRADESH,3170,KAUSHAMBI,2289906,230.232645230199,43,179,3331.559453664,10198,46,19276,2233919,879540,69289,1832,97,254.08317,8728.853429664,51170,61562,105584,146855,2466,133216,179501,29474,5143.210806,1090461,66,32.75,33.95,102.26,NA
2023-2024,March,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,1958014,231.088517582665,48,51,1822.657100821,8146,13,16908,1976805,663724,43507,6857,357,309.38525,6700.211720821,40689,48648,81578,109749,3364,103595,135898,25054,4568.16937,1164051,67,28.23,27.45,101.73,NA
2023-2024,March,31,UTTAR PRADESH,3176,SHRAVASTI,3153216,230.625489554071,58,310,2118.298002486,9571,0,11400,3081631,782721,38242,23991,1205,212.87517,9438.199752486,52453,63839,93663,130950,3893,115016,156059,20971,7107.02658,1294891,49,46.84,13.21,100.61,NA
2023-2024,March,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,4963078,227.607310412393,49,196,5326.806124596,11721,0,48497,4899450,1623605,95370,11154,537,433.58899,16911.901484596,99333,115459,184205,243128,7361,236169,303938,60218,11151.50637,2485761,55,33.41,19.04,100.53,NA
2023-2024,Jan,31,UTTAR PRADESH,3110,MORADABAD,3219405,224.678677185376,43,189,1864.319095166,5481,3,15932,3174534,616479,38708,2311,132,89.40746,9086.227553166,72397,85705,133535,179567,2313,175194,240810,21413,7132.500998,888977,28,63.35,12.36,102.28,NA
2023-2024,Jan,31,UTTAR PRADESH,3111,RAMPUR,3790016,225.372818503389,47,264,4714.97318065101,9236,4,15422,3787652,770954,37963,1303,65,208.14013,13459.451378151,79732,91564,125458,153219,3728,155055,187422,24658,8536.3380675,922011,29,28.41,25.42,103.65,NA
2023-2024,Jan,31,UTTAR PRADESH,3112,SAHARANPUR,1899228,223.206854868004,33,156,1264.672135472,3892,3,20333,1899526,898966,83290,3839,301,79.70388,5584.248257472,57073,68960,111588,160673,1305,160012,219264,24225,4239.872242,742526,29,47.66,22.04,101.2,NA
2023-2024,Jan,31,UTTAR PRADESH,3116,GHAZIABAD,1,275.329317269076,14,0,0,8,143,26,249,27,17,0,0,0,0.68557,17,18,40,52,0,14794,22185,34,0.68557,86,35,62.86,0.41,100,NA
2023-2024,Jan,31,UTTAR PRADESH,3120,AGRA,4619211,228.446029311457,51,272,2520.496901171,6315,0,20652,4609324,1297138,56976,18452,848,153.90542,13204.219977271,89453,114018,134709,186713,6877,168332,227566,26967,10529.8176561,1831335,43,49.39,19.48,100.9,NA
2023-2024,Jan,31,UTTAR PRADESH,3121,FIROZABAD,3848072,225.447869914365,48,306,3357.267166183,11325,7,14862,3860826,1043490,33023,3315,133,78.77164,12140.188784283,78841,82622,104248,113763,2495,132862,145884,26187,8704.1499781,1590899,29,46.57,16.51,99.93,NA
2023-2024,Jan,31,UTTAR PRADESH,3122,ETAH,2988584,227.239233268876,49,203,2441.863067177,11511,3,13977,2985962,546616,25894,856,46,171.71102,9398.851241677,59974,67149,100277,124835,3173,133322,163311,25488,6785.2771545,1049373,35,30.98,25,101.61,NA
2023-2024,Jan,31,UTTAR PRADESH,3123,MAINPURI,4291403,221.534245426112,47,203,1525.396888164,11985,3,19561,4294596,1105864,49840,6516,344,151.31954,11190.717270864,90325,106163,139346,180231,3786,184327,232648,31546,9514.00084269999,1530736,40,42.55,16.26,99.97,NA
2023-2024,Jan,31,UTTAR PRADESH,3126,PILIBHIT,3140535,226.623716225069,36,600,2681.626667158,10800,1,26589,3136979,474475,48442,7402,612,207.32959,9998.094644158,86268,106306,172057,256567,3656,212532,306013,37389,7109.138387,1187156,55,18.9,17.43,100.18,NA
2023-2024,Jan,31,UTTAR PRADESH,3136,KANPUR DEHAT,2108973,224.773303161399,40,249,1372.348451083,7864,1,22519,2103942,826211,59089,1627,146,117.67426,6219.122641083,51945,61309,107553,142107,1189,144271,186467,30383,4729.09993,696328,53,36.15,14.73,101.79,NA
2023-2024,Jan,31,UTTAR PRADESH,3149,AYODHYA,3719618,222.972133457129,45,117,5231.48484447401,12363,0,21909,3722259,1345656,93382,5320,361,248.69742,13779.782569574,82150,92898,177116,243002,3956,226145,301248,34272,8299.6003051,1776808,39,32.03,26.36,101.46,NA
2023-2024,Jan,31,UTTAR PRADESH,3153,BASTI,11168802,224.484171646088,53,280,12347.979722213,21743,15,38393,11176835,2893906,108986,431,12,357.16284,37795.368028213,210793,241823,320217,401338,11807,384775,477245,60136,25090.225466,5722258,36,39.83,26.85,101.06,NA
2023-2024,Jan,31,UTTAR PRADESH,3157,AZAMGARH,8303862,223.288977580847,48,403,6311.282982424,30131,14,69969,8299600,2918804,148026,18891,767,549.78085,25393.155815724,171455,184661,327340,378012,4717,418202,499680,100100,18532.0919833,4140918,64,19.9,31.28,101.15,NA
2023-2024,Jan,31,UTTAR PRADESH,3163,SONBHADRA,4535554,226.791198290946,44,682,3591.46010436901,18964,1,38103,4536778,1291353,94461,1329536,91533,222.19034,14102.663634369,102644,139134,204030,311355,8275,254073,379801,57067,10289.01319,2373253,73,35.3,25.4,100.15,NA
2023-2024,Jan,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,6318,226.06299461855,16,1,0,5,14,263,6318,2139,348,116,15,0,14.28266,375,388,897,996,0,11330,12756,268,14.28266,1388,12,92.51,2.74,134.33,NA
2023-2024,Jan,31,UTTAR PRADESH,3166,HATHRAS,1190552,217.441143921668,36,32,737.258997781,2639,12,10011,1186847,388743,27983,1073,63,74.19156,3392.144251181,32375,38466,64661,84683,1003,75793,97758,12650,2580.6936934,273968,13,60.39,7.7,100.6,NA
2023-2024,Jan,31,UTTAR PRADESH,3167,AMROHA,3460376,227.006882884372,45,143,3069.276188514,8405,0,13478,3459692,837428,45274,1696,65,169.40339,11092.418545114,75581,91388,119754,165953,6722,143875,195794,21883,7853.7389666,885675,28,37.52,39.46,101.19,NA
2023-2024,Jan,31,UTTAR PRADESH,3172,KUSHI NAGAR,5033584,225.594212519132,42,608,4878.695858607,14423,5,39405,5026211,1247206,85101,32526,2057,299.12872,16516.665703607,118637,144129,232111,315019,2791,346317,463999,53828,11338.841125,2078336,45,37.02,13.41,101.7,NA
2023-2024,Jan,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,6687538,225.650598573111,51,248,7355.861758793,18806,10,42435,6689659,2185563,84125,5479,215,249.76417,22700.881504793,129881,144111,201942,241343,6438,233731,276374,61241,15095.255576,3761326,57,27.74,24.59,99.87,NA
2023-2024,Jan,31,UTTAR PRADESH,3181,AMETHI,4176569,220.943294403026,49,178,3885.274129838,16131,0,35130,4186798,1150736,71986,106,2,218.70658,13354.430141038,84909,100268,169480,229581,3092,217362,284857,51261,9250.4494312,1755021,61,26.1,19.1,101.63,NA
2023-2024,Sep,31,UTTAR PRADESH,3116,GHAZIABAD,1,339.880733944954,8,0,0,0,143,32,109,5,17,0,0,0,0.37047,13,13,40,52,0,14794,24177,32,0.37047,4,31,99.07,0.93,100,NA
2023-2024,Sep,31,UTTAR PRADESH,3117,BULANDSHAHR,498492,216.503877650196,28,47,804.5416977,1383,10,10785,497982,79124,11277,169,60,9.62408,1892.3161177,17439,18490,51391,57649,187,72543,82351,12168,1078.15034,167057,23,46.06,30.58,101.47,NA
2023-2024,Sep,31,UTTAR PRADESH,3119,MATHURA,1897726,216.673427944398,35,82,2367.645354978,1902,23,15496,1896924,523622,43590,3125,299,50.60362,6528.379231278,52927,65629,105543,142932,335,130126,185521,17398,4110.1302563,754384,11,50.2,22.92,99.96,NA
2023-2024,Sep,31,UTTAR PRADESH,3124,BUDAUN,2004281,210.39908746394,31,261,1407.946729161,3321,11,36783,2002551,404569,41531,1786,180,102.03776,5723.333519161,62600,69373,163506,196559,384,211516,259615,40104,4213.34903,582036,49,42.21,13.45,100.82,NA
2023-2024,Sep,31,UTTAR PRADESH,3127,SHAHJAHANPUR,2378946,218.189282750474,31,411,2755.334592664,3929,1,47406,2378935,667696,85531,1012,97,197.91891,8143.834716264,75667,91382,205794,279617,196,275256,370881,51335,5190.5812136,754831,59,19.42,20.37,101.28,NA
2023-2024,Sep,31,UTTAR PRADESH,3132,LUCKNOW,858647,216.261487782523,31,120,1419.535196482,1639,5,15589,858647,518348,72859,2496,323,88.24356,3364.701533482,26950,31730,79995,112999,203,126853,198906,17228,1856.922777,301896,36,29.92,16.59,101.52,NA
2023-2024,Sep,31,UTTAR PRADESH,3138,JALAUN,6702708,214.886010708845,51,596,3607.646250902,7953,1,26842,6700629,1998128,89911,511,11,125.27593,18131.636531402,131033,177535,181519,268649,3532,206384,338227,34795,14398.7143505,2542004,43,20.8,49.56,100.86,NA
2023-2024,Sep,31,UTTAR PRADESH,3141,HAMIRPUR,2983926,211.032506441658,46,144,2326.240143597,2626,0,23709,2983704,568527,49093,569,60,72.66902,8695.494499597,64345,90271,128804,208787,2163,159584,268281,26335,6296.585336,1279858,59,48.74,19.11,101.28,NA
2023-2024,Sep,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,7205287,228.411353402162,40,255,10219.015601594,7019,10,32663,7203875,1669376,83196,231,14,249.50406,26922.988046494,180020,197704,304727,357231,2137,368807,435038,39682,16454.4683849,4021637,23,21.57,30.47,100.05,NA
2023-2024,Sep,31,UTTAR PRADESH,3156,MAU,3319032,226.803224506414,37,261,4661.723003802,8209,11,21360,3318266,1130783,85065,48157,3242,143.46463,12331.121919502,87757,99288,187953,237813,431,243938,307760,29569,7525.93428570001,1760247,43,26.91,35.91,100.12,NA
2023-2024,Sep,31,UTTAR PRADESH,3157,AZAMGARH,6025523,221.324841535587,40,282,6311.282982424,17247,14,74586,6024665,2136246,147471,13106,762,289.20748,19934.570726724,149979,160967,325475,376013,769,415196,499033,91833,13334.0802643,3003828,62,18.97,34.73,100.99,NA
2023-2024,Sep,31,UTTAR PRADESH,3172,KUSHI NAGAR,3294536,225.844577930721,33,388,4782.012655007,9663,5,40790,3294471,836383,84940,21880,2051,199.59143,12421.988210007,99164,118990,230964,313581,292,344405,465996,50453,7440.384125,1367365,42,38.09,13.57,102,NA
2023-2024,Sep,31,UTTAR PRADESH,3176,SHRAVASTI,2017101,226.017949522607,47,137,1671.778258936,3111,0,16045,2017101,525958,38166,16082,1203,44.26707,6275.055648936,42908,51508,93126,130355,957,114239,162303,19156,4559.01032,853270,47,45.67,18.78,100.4,NA
2023-2024,July,31,UTTAR PRADESH,3109,BIJNOR,1894105,208.821155623793,19,205,1208.823955866,3135,9,26882,1894042,726635,124989,6325,912,113.30459,5277.288938266,98462,117169,206940,293237,119,248801,385599,30017,3955.1603924,585168,30,40.63,19.48,100.23,NA
2023-2024,July,31,UTTAR PRADESH,3110,MORADABAD,1720939,219.186642830398,29,147,1037.744396206,1574,4,18089,1693218,337320,38620,1180,131,31.54551,4780.597596206,57458,66993,132833,178750,58,174164,268731,19663,3711.30769,480306,27,56.03,15.72,100.92,NA
2023-2024,July,31,UTTAR PRADESH,3112,SAHARANPUR,797208,210.657964926017,19,106,1002.68398741,542,9,20394,796944,382885,83042,1936,295,41.09605,2722.60604941,41681,48053,110983,159761,27,159129,228876,20936,1678.826012,322395,27,48.07,19.72,100.54,NA
2023-2024,July,31,UTTAR PRADESH,3117,BULANDSHAHR,355695,204.961545706293,24,21,392.2008095,194,157,11625,355695,58874,11227,133,60,9.62408,1130.8628595,14364,15243,50840,57064,5,71762,87632,11819,729.03797,121496,22,39.38,33.43,101.27,NA
2023-2024,July,31,UTTAR PRADESH,3121,FIROZABAD,2019857,188.960002337898,35,120,2010.529497324,1687,10,19916,2027462,573473,32763,1833,129,66.80105,5908.422789924,57131,59899,101751,111163,86,129149,164286,21603,3831.0922426,839142,30,48.01,22.14,99.86,NA
2023-2024,July,31,UTTAR PRADESH,3127,SHAHJAHANPUR,1731181,206.284416036553,26,322,1420.614665606,1468,2,48113,1731170,483152,85438,692,94,197.91891,5189.667500706,64686,77607,205374,279135,35,274551,383862,49581,3571.1339251,526600,58,19.16,21.12,101.27,NA
