fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,31,UTTAR PRADESH,3110,MORADABAD,2371514,240.995285041765,42,252,2449.900114748,6561,3,16504,2829866,534459,34392,2099,125,572.65678,9842.400527748,66407,77987,118134,160317,2127,181666,249597,23065,6819.843633,869762,24,72.89,10.32,101.47,NA
2024-2025,Dec,31,UTTAR PRADESH,3112,SAHARANPUR,1409357,242.124150991525,29,121,1724.293825801,10838,3,15982,1474043,661441,73394,3058,286,246.63504,5539.942964801,50639,59285,96515,141971,632,162418,223954,26820,3569.014099,584818,29,60.68,10.97,100.76,NA
2024-2025,Dec,31,UTTAR PRADESH,3117,BULANDSHAHR,411901,235.697716140758,32,70,613.383272781,1456,13,10245,563406,117964,10345,335,44,55.79923,1997.117577381,17360,18249,43576,49944,548,78798,89015,11701,1327.9350746,208911,16,60.95,16.37,100.18,NA
2024-2025,Dec,31,UTTAR PRADESH,3124,BUDAUN,3510277,238.561890087107,42,615,2689.332548272,25844,2,19675,3480538,601111,36837,3741,170,461.68991,11454.259696272,82321,89970,146941,179322,2647,224524,269431,45519,8303.237238,955149,53,47.03,16.02,100.12,NA
2024-2025,Dec,31,UTTAR PRADESH,3133,RAE BARELI,3739319,231.57809896349,34,249,5067.224339268,10350,1,23254,2479763,1316172,147299,1394,195,596.26682,11406.079173468,72668,84150,188890,291585,1814,297820,428335,33604,5742.5880142,1096188,22,34.26,25.38,100.3,NA
2024-2025,Dec,31,UTTAR PRADESH,3136,KANPUR DEHAT,2341493,239.441051880101,38,226,2237.382492411,9149,0,15019,1634673,625254,51592,1989,129,410.55816,6562.018878411,42957,49169,90320,121849,870,150726,195235,24168,3914.078226,541798,46,52.08,11.75,100.57,NA
2024-2025,Dec,31,UTTAR PRADESH,3140,LALITPUR,3417451,236.510390105735,46,271,4858.52047667001,21508,0,16465,3725067,830578,60271,199946,17889,245.73074,13914.42171007,80714,113153,139026,233475,7650,183713,297780,37973,8810.1704934,1558351,60,45.02,21.36,99.99,NA
2024-2025,Dec,31,UTTAR PRADESH,3142,BANDA,3429838,241.198534710469,41,597,3891.288731785,29183,2,17673,2520594,444009,58679,459,45,260.2359,10231.160425785,60321,75003,141941,228514,1434,218450,338022,46856,6079.635794,1318010,79,42.41,5.4,100.64,NA
2024-2025,Dec,31,UTTAR PRADESH,3143,FATEHPUR,3984578,242.390928829504,39,616,4477.81160439,25657,2,17884,2725118,802636,78811,2143,116,843.3009,11926.55133629,68934,74057,165560,207229,728,255209,310228,43541,6605.4388319,1327446,64,35.09,13.22,100.49,NA
2024-2025,Dec,31,UTTAR PRADESH,3144,PRATAPGARH,4354545,238.514066636706,47,283,5743.226725605,23931,44,27738,4861885,1818806,97152,13491,538,901.22195,18240.728304305,103255,107713,210143,247431,7382,331296,390394,51669,11596.2796287,2486034,40,57.72,16.77,101.1,NA
2024-2025,Dec,31,UTTAR PRADESH,3146,BAHRAICH,6572826,238.546594721977,47,349,11925.922203967,39981,10,42927,8185640,1505801,78140,56993,2331,888.09436,32340.582040167,173478,195670,293130,363899,7226,404753,492476,82908,19526.5654762,3892635,64,39.28,14.71,101.98,NA
2024-2025,Dec,31,UTTAR PRADESH,3147,GONDA,4623002,240.558742619019,41,212,3610.689976232,15087,2,22382,3374721,846472,56410,4035,250,536.83588,12265.712260732,81164,85620,171972,214561,2405,305054,366078,37469,8118.1864045,1464731,40,36.73,28.97,100.45,NA
2024-2025,Dec,31,UTTAR PRADESH,3154,GORAKHPUR,5325835,240.081016785315,48,198,7083.662053989,17312,1,25727,5925656,2055947,88298,7468,322,942.34415,22252.381379989,121994,131548,205218,252870,6696,333238,397114,43039,14226.375176,2901068,29,44.2,25.83,99.92,NA
2024-2025,Dec,31,UTTAR PRADESH,3157,AZAMGARH,6639465,238.545177524356,48,457,8227.891036003,53908,26,29909,8674528,3047278,129721,19664,741,1204.52295,30125.082203003,180249,192253,289966,339154,8785,436321,523933,83817,20692.668217,4239423,60,37.12,21.69,100.08,NA
2024-2025,Dec,31,UTTAR PRADESH,3166,HATHRAS,1052515,231.178365292389,34,55,1084.855719817,5844,12,7317,906003,294928,24346,673,51,141.23162,3320.570264717,25954,30401,54343,73060,605,78854,101903,13161,2094.4829249,248142,9,58.23,22.05,100.06,NA
2024-2025,Dec,31,UTTAR PRADESH,3169,AURAIYA,1632740,237.870175755165,44,217,2535.89623998,5078,0,12296,2378024,987169,44178,10462,346,346.17709,8538.68319828,53931,59519,81765,102941,1581,129531,156889,17374,5656.6098683,694164,26,59.31,4.81,99.92,NA
2024-2025,Dec,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,3501295,241.46610079479,38,216,5218.85207826,34375,2,19264,2965312,1038827,83011,7157,475,726.12728,13105.20262106,76923,85554,160835,214491,1846,243699,313178,53639,7160.2232628,1464797,52,43.3,27.5,100.02,NA
2024-2025,Dec,31,UTTAR PRADESH,3184,SAMBHAL,1563453,237.704087851155,36,74,2554.872970839,6999,6,15464,2052335,552337,38737,904,50,417.03224,7850.389402239,55712,63786,99548,127411,1124,143612,180464,22463,4878.4841914,565531,14,66.73,11.8,100.23,NA
2024-2025,Dec,31,UTTAR PRADESH,3118,ALIGARH,2161818,238.634401141767,35,334,3887.012708008,9439,2,17621,2405394,562370,40650,3446,226,213.72645,9840.83672500801,66978,74604,131591,163693,1983,190584,231789,27060,5740.097567,689633,21,69.98,12.47,100.07,NA
2024-2025,Dec,31,UTTAR PRADESH,3121,FIROZABAD,3195503,237.296797284383,53,329,4149.866071866,7878,1,14075,4153163,1082447,35239,5046,190,257.42987,14262.618726866,76984,79831,111889,130990,2414,153497,176990,21953,9855.322785,1757647,25,57.52,10.77,99.72,NA
2024-2025,Dec,31,UTTAR PRADESH,3127,SHAHJAHANPUR,3552006,238.562015183116,36,937,3347.682777471,21328,3,19016,3226347,897735,75711,920,86,895.91372,11940.434917471,88706,102621,181349,251399,2718,296959,388064,40344,7696.83842,766741,54,56.07,8.52,99.97,NA
2024-2025,Dec,31,UTTAR PRADESH,3136,KANPUR DEHAT,2341493,239.053779470262,38,231,2238.616342411,9179,0,15067,1661463,635586,51655,2004,129,410.55816,6620.964598411,43320,49605,90383,121960,957,150822,195416,24246,3971.790096,549785,46,52.42,11.72,100.56,NA
2024-2025,Dec,31,UTTAR PRADESH,3142,BANDA,3429838,241.641410538837,42,601,3893.888351785,29774,2,17682,2555690,452477,58707,459,45,260.2359,10329.729616785,60611,75418,142041,228660,1541,218519,338115,47456,6175.605365,1335243,79,42.53,5.38,100.65,NA
