fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,6959091,238.859315784026,39,261,11710.3431888,16360,4,22846,6946827,1671056,75541,240,12,879.59281,29183.0794397,175469,191161,274081,324348,2448,376708,441199,39206,16593.1434409,3952362,23,36.22,23.04,99.87,NA
2024-2025,Dec,31,UTTAR PRADESH,3155,DEORIA,3855022,238.942683330592,43,185,3955.653575546,8430,17,19480,3069905,709674,39468,111003,5763,501.72019,11792.687148246,70105,73926,134048,158642,2188,206728,239428,27910,7335.3133827,1264386,17,58.6,19.01,99.98,NA
2024-2025,Dec,31,UTTAR PRADESH,3162,MIRZAPUR,4158403,237.801749267051,41,466,3747.016780925,12893,0,22281,3275126,1361336,111058,40407,2874,583.97326,12119.296959625,79835,99477,167245,252125,3188,266277,382605,35174,7788.3069187,1652233,47,45.79,26.73,100.58,NA
2024-2025,Dec,31,UTTAR PRADESH,3165,BAGHPAT,32395,231.731746685899,20,3,8.3672327,321,1,2173,29118,7751,1808,54,7,2.61618,78.4590627,1402,1538,4361,5679,2,17110,21017,2494,67.47565,9298,8,65.39,3.79,110.78,NA
2024-2025,Dec,31,UTTAR PRADESH,3180,KASHGANJ,2015457,237.360956238933,32,369,2755.898209607,5053,0,8369,1538925,337508,28213,1393,88,167.52438,6576.229685407,47939,54783,87828,123051,251,113064,153396,13422,3652.8070958,399508,18,64.96,7.66,100.58,NA
2024-2025,Nov,31,UTTAR PRADESH,3109,BIJNOR,4048805,236.964467788813,25,236,4144.629898151,6873,5,20676,2862313,1071992,118762,25452,1038,526.39802,11453.692685051,111832,134394,193690,278058,613,257726,356018,27549,6782.6647669,913265,23,50.47,11.49,100.26,NA
2024-2025,Nov,31,UTTAR PRADESH,3112,SAHARANPUR,1326841,237.602921626684,25,135,1676.758345801,8282,3,17634,1224626,563464,72983,2502,283,246.63504,4833.140540801,47274,55011,95529,140486,327,161991,223172,25916,2909.747155,480922,29,59.81,12.02,100.16,NA
2024-2025,Nov,31,UTTAR PRADESH,3122,ETAH,2002537,235.877929890825,36,125,3051.706615194,3439,8,13980,1555203,294857,22530,802,50,357.30595,7077.393207194,42398,46227,87169,108920,494,136745,167368,17419,3668.380642,529467,27,57.49,9.9,100.82,NA
2024-2025,Nov,31,UTTAR PRADESH,3133,RAE BARELI,3520384,230.652213287303,31,244,5019.120774268,9298,1,24627,2253580,1205907,146971,1290,195,596.26682,10813.319742468,70587,81497,188452,290865,1077,297402,427615,33925,5197.9321482,1001397,25,33.1,26.36,100.31,NA
2024-2025,Nov,31,UTTAR PRADESH,3136,KANPUR DEHAT,2204400,239.913734642086,35,203,2216.774164311,8515,0,17753,1445753,553915,51280,1664,129,410.55816,6095.892340311,40968,46787,89692,120904,435,150026,194173,26268,3468.560016,481863,52,49.93,12.51,100.62,NA
2024-2025,Nov,31,UTTAR PRADESH,3138,JALAUN,5477463,234.343126888947,47,596,8359.794416081,9488,1,21322,5570895,1570676,85743,886,35,357.87211,21772.676064781,116855,150571,178524,263060,3325,218964,315316,30810,13055.0095387,2113728,44,44.07,38.44,100.59,NA
2024-2025,Nov,31,UTTAR PRADESH,3144,PRATAPGARH,4099590,239.115736247574,42,204,5714.619095605,16606,44,34807,4186934,1580370,92743,11518,522,901.22195,16627.459105905,97620,101713,207787,235291,4002,329871,375326,51413,10011.6180603,2142881,46,59.13,17.7,101.28,NA
2024-2025,Nov,31,UTTAR PRADESH,3146,BAHRAICH,6187992,238.929209627923,43,303,11872.487643967,35517,10,50700,7105375,1314628,77721,51077,2312,888.09436,29737.398332567,164835,185625,289050,359349,2710,400901,488225,86217,16976.8163286,3378010,67,36.66,16.22,102.23,NA
2024-2025,Nov,31,UTTAR PRADESH,3148,BARABANKI,4704965,241.335189876657,40,365,6432.32566201,12991,2,26609,4336947,1820703,132908,1892,91,587.50485,17486.40978931,108110,125343,220932,299410,2183,357095,465088,39600,10466.5792773,1459317,36,35.05,30.38,99.87,NA
2024-2025,Nov,31,UTTAR PRADESH,3149,AYODHYA,3200759,243.402580097686,36,109,3800.076899198,6189,18,19547,2422854,930488,77949,3843,301,561.65589,10259.021937198,65798,72432,143528,199921,929,228207,303682,25736,5897.289148,1127159,28,44.24,44.31,100.51,NA
2024-2025,Nov,31,UTTAR PRADESH,3150,SULTANPUR,4679748,238.000657931145,43,450,10252.820425208,27069,2,31248,4788571,1114334,69025,10676,496,607.09166,22256.742570708,111327,118167,210913,246264,1389,296331,341026,58317,11396.8304855,2400520,64,28.35,18.77,100.08,NA
2024-2025,Nov,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,6551643,238.731904844945,35,231,11618.8978988,13594,6,23028,5929438,1432069,74707,170,10,879.59281,26653.9509928,167290,181968,272494,320725,1005,376153,438436,36622,14155.460284,3368916,23,31.65,24.53,99.78,NA
2024-2025,Nov,31,UTTAR PRADESH,3158,JAUNPUR,6990554,240.039408545906,43,1045,10615.188055961,48443,20,41210,7693953,2610008,126282,580,18,1290.43585,30374.143180961,176194,182068,312156,343205,2449,452538,492903,89653,18468.519275,4074120,59,32.05,27.21,100.21,NA
2024-2025,Nov,31,UTTAR PRADESH,3159,BALLIA,3764372,236.542764603311,34,229,3930.290214866,14558,11,24625,2318036,465629,47032,82635,7786,986.95962,10400.396273766,66256,72841,162265,203010,647,276274,332696,39183,5483.1464389,1071152,50,50.41,17.03,100.21,NA
2024-2025,Nov,31,UTTAR PRADESH,3167,AMROHA,2053223,238.662366340039,34,128,3523.75013323401,10118,0,14583,2267620,572768,42103,1461,71,226.72667,9162.43235483401,65086,76598,109290,152481,1307,146092,198227,24701,5411.9555516,610123,29,65.29,28.2,99.95,NA
2024-2025,Nov,31,UTTAR PRADESH,3171,CHANDAULI,3594686,239.557902180589,48,200,7424.24630294501,5613,2,22854,4357172,1077840,63301,25045,1092,461.20683,18323.402970545,90547,116745,139445,208040,1556,186657,269482,28467,10437.9498376,1716795,39,50.14,15.67,102.63,NA
2024-2025,Nov,31,UTTAR PRADESH,3172,KUSHI NAGAR,3841443,243.525514069999,33,416,6863.382282202,14926,2,32436,3054691,727521,72712,19224,1876,664.19266,14966.526903202,90456,106051,197676,272629,1030,353520,473787,47362,7438.951961,1289238,45,43.36,13.52,102.46,NA
2024-2025,Nov,31,UTTAR PRADESH,3177,CHITRAKOOT,1502546,237.555116928776,36,293,2423.893342112,9838,5,15029,1312936,500827,66478,538,31,352.7589,5895.598892112,35976,46856,92295,151299,793,135234,214835,24867,3118.94665,614228,75,50.33,9.59,99.97,NA
2024-2025,Nov,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,3296298,242.364785002227,35,131,5192.32136826,31093,2,25918,2590678,912353,82715,6189,474,726.12728,12197.33981306,73373,81377,159969,213427,948,242990,312313,57011,6278.8911648,1280967,56,42.29,29.43,100.02,NA
2024-2025,Nov,31,UTTAR PRADESH,3182,HAPUR,100280,237.395184169746,34,30,35.777761035,577,0,1384,167780,87459,4507,49,6,0,434.079401035,4842,5204,9052,10016,30,16142,17972,1961,398.30164,70566,11,76.07,9.75,99.95,NA
2024-2025,Nov,31,UTTAR PRADESH,3184,SAMBHAL,1471915,235.119564056808,31,70,2530.877470839,5095,6,17852,1625120,439395,38305,720,45,417.03224,6768.884770239,51159,58210,97906,125258,476,142205,178656,22947,3820.9750594,446428,20,64.47,12.92,100.14,NA
2024-2025,Nov,31,UTTAR PRADESH,3117,BULANDSHAHR,387785,236.140767188629,27,63,606.443492781,1279,16,10316,415100,85827,9807,278,44,55.79923,1642.463047381,15369,16043,42463,47610,211,78166,87009,11595,980.2203246,151417,18,56.18,19.39,100.25,NA
2024-2025,Nov,31,UTTAR PRADESH,3126,PILIBHIT,2380703,239.804545205781,26,408,3906.297470723,13089,1,18441,1845483,305301,43859,5567,615,540.02352,8871.873105723,70232,84100,151917,232335,666,219955,318167,31530,4425.552115,475959,47,41.43,24.21,100.15,NA
2024-2025,Nov,31,UTTAR PRADESH,3136,KANPUR DEHAT,2204400,240.092171086126,34,203,2213.996584311,8333,0,17861,1416199,542820,51258,1645,128,410.55816,6024.737670311,40712,46489,89589,120785,379,149974,194106,26194,3400.182926,473458,52,49.5,12.64,100.61,NA
2024-2025,Nov,31,UTTAR PRADESH,3143,FATEHPUR,3751284,244.020226029705,35,578,4415.03743439,22805,2,25320,2258243,659907,78225,1660,111,843.3009,10768.90800729,63605,68176,163870,205316,272,254043,308921,48125,5510.5696729,1107977,68,30.98,14.57,100.54,NA
2024-2025,Nov,31,UTTAR PRADESH,3145,PRAYAGRAJ,4412331,238.605780692977,37,471,5287.863187482,28500,1,32871,3941716,1793784,169953,1883,177,1286.82644,15979.851861982,106333,126222,249288,355277,3943,417809,566232,61371,9405.1622345,1863450,55,42.33,24.5,100.27,NA
2024-2025,Nov,31,UTTAR PRADESH,3150,SULTANPUR,4679748,238.982219064038,42,448,10242.164285208,26529,2,31360,4680257,1089017,68916,10482,493,607.09166,22034.237981708,109978,116745,210407,245714,1236,295899,340556,57889,11184.9820365,2345761,64,28.09,19.07,100.08,NA
2024-2025,Nov,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,6551643,238.931996435452,35,227,11616.4957988,13466,6,22973,5886862,1422482,74687,170,10,879.59281,26561.6855128,167072,181727,272435,320644,919,376073,438320,36439,14065.596904,3345876,23,31.56,24.64,99.78,NA
2024-2025,Nov,31,UTTAR PRADESH,3160,GHAZIPUR,4279961,238.335804359235,37,684,7746.749515622,26691,1,30700,5979306,1318886,100007,53381,3607,897.43976,22895.016325822,159214,183442,291579,386147,1053,423675,545931,57391,14250.8270502,2763233,55,45.74,20.6,99.97,NA
2024-2025,Nov,31,UTTAR PRADESH,3167,AMROHA,2053223,238.508569263579,34,128,3521.31613323401,9902,0,14625,2211819,556765,42064,1445,71,226.72667,9023.42065483401,64656,76034,109176,152325,1169,146060,198179,24527,5275.3778516,595563,29,65.8,27.64,99.93,NA
2024-2025,Nov,31,UTTAR PRADESH,3168,KANNAUJ,1808921,241.195036693619,36,267,2905.48644598,6066,5,13699,1810124,528017,40988,364,10,329.0988,7600.51449198,49543,56088,92977,118909,665,134324,165618,19765,4365.929246,571184,34,58.56,22.44,100.44,NA
2024-2025,Nov,31,UTTAR PRADESH,3172,KUSHI NAGAR,3841443,243.834207473381,33,412,6858.944632202,13918,2,33085,2964361,707093,72646,18671,1876,664.19266,14751.263443202,89357,104703,197344,272194,946,353381,473580,47003,7228.126151,1250835,45,42.94,13.79,102.51,NA
2024-2025,Nov,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,3296298,242.505736925616,34,128,5188.89816826,29692,2,26913,2515281,888353,82632,6102,472,726.12728,12014.72617306,72352,80205,159712,213114,849,242938,312245,56605,6099.7007248,1241517,56,42.21,29.94,99.96,NA
2024-2025,Nov,31,UTTAR PRADESH,3180,KASHGANJ,1897454,235.392105802677,28,333,2738.440059607,4398,0,8520,1284769,284743,28058,1240,86,167.52438,5930.209243407,45716,51960,87359,122229,45,112743,152720,12918,3024.2448038,332190,19,62.98,8.06,100.36,NA
2024-2025,Nov,31,UTTAR PRADESH,3110,MORADABAD,2232663,239.927828179256,38,243,2424.057894748,5434,4,17389,2422548,457416,34177,1651,122,572.65678,8809.081477748,63032,73754,117144,158861,1086,180628,248128,22823,5812.366803,740210,26,71.67,10.96,101.74,NA
2024-2025,Nov,31,UTTAR PRADESH,3111,RAMPUR,2863254,237.047463624597,43,194,4889.361911179,4989,4,15910,2981479,597329,35028,1340,57,451.21547,12408.097729179,69051,78603,115506,144328,1767,162353,197024,20899,7067.52034799999,819871,24,60.74,15.91,100.51,NA
2024-2025,Nov,31,UTTAR PRADESH,3126,PILIBHIT,2380703,238.539260386095,26,384,3908.253470723,13367,1,18493,1905697,314266,43908,5741,615,540.02352,8994.112519723,71020,85217,152166,232774,709,220170,318540,31860,4545.835529,492111,47,42.03,23.8,100.17,NA
2024-2025,Nov,31,UTTAR PRADESH,3128,KHERI,5616362,238.810651823189,36,701,7292.21423890401,25181,0,33390,4853939,1716085,159373,75352,7587,815.98781,19699.925413904,134648,160064,289040,416173,3031,460330,626692,58571,11591.723365,1430493,50,44.83,20.34,99.97,NA
2024-2025,Nov,31,UTTAR PRADESH,3130,HARDOI,5472660,240.99093626607,41,461,8504.982446695,27339,10,40004,5945436,1884911,104070,5862,435,881.27896,23714.223288195,141754,155704,249536,304950,4519,416393,490944,67343,14327.9618815,2081116,48,41.01,22.67,100.87,NA
2024-2025,Nov,31,UTTAR PRADESH,3138,JALAUN,5477463,234.478272221053,48,599,8378.459236081,9578,1,21392,5707009,1610655,85839,942,39,357.87211,22118.027444781,117938,152038,178823,263447,3854,219211,315667,30970,13381.6960987,2164380,44,44.72,37.99,100.58,NA
2024-2025,Nov,31,UTTAR PRADESH,3139,JHANSI,3217363,242.22485148337,51,595,4358.706092307,10387,0,20555,2950040,915876,63805,25657,1551,385.88594,11890.322041007,57706,76807,116870,185595,2831,170941,262208,30942,7145.7300087,1124350,55,46.99,26.92,100.07,NA
2024-2025,Nov,31,UTTAR PRADESH,3143,FATEHPUR,3751284,243.632423560058,36,589,4429.95303439,24100,2,24379,2373203,694577,78380,1797,111,843.3009,11055.14591929,64891,69624,164293,205778,334,254300,309204,48479,5781.8919849,1162533,68,31.86,14.15,100.54,NA
2024-2025,Nov,31,UTTAR PRADESH,3145,PRAYAGRAJ,4412331,238.230869435142,37,476,5294.749357482,29084,1,32608,4081236,1854697,170189,1977,178,1286.82644,16304.339803982,107579,127783,249734,355853,4359,418016,566477,61692,9722.7640065,1925132,55,43.01,24.12,100.27,NA
2024-2025,Nov,31,UTTAR PRADESH,3159,BALLIA,3764372,236.434347145042,35,230,3930.333614866,14805,11,24465,2346777,469719,47047,83754,7754,986.95962,10465.880113766,66546,73164,162153,202913,703,276082,332509,39270,5548.5868789,1084567,50,50.54,16.89,100.22,NA
2024-2025,Nov,31,UTTAR PRADESH,3167,AMROHA,2053223,238.651713494634,35,128,3527.87883323401,10408,0,14573,2295957,578993,42121,1461,71,226.72667,9233.94622483401,65328,76915,109327,152542,1402,146132,198287,24981,5479.3407216,617557,29,65.04,28.54,99.95,NA
2024-2025,Nov,31,UTTAR PRADESH,3169,AURAIYA,1537144,236.273116368567,41,210,2513.03829998,3885,0,14209,2129209,886370,43388,9730,337,346.17709,7889.96384828,51008,56237,79882,100641,1122,127645,154557,18094,5030.7484583,613923,31,58.29,5.16,99.92,NA
2024-2025,Nov,31,UTTAR PRADESH,3176,SHRAVASTI,2012332,241.62824259861,43,225,2013.774312104,6640,1,8210,1840769,495117,33503,9675,1110,280.81672,6742.408817104,42090,49846,81067,115340,1077,118760,161045,14850,4447.817785,781452,40,56.26,14.94,100.88,NA
2024-2025,Nov,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,3296298,242.335527788837,35,139,5197.95166826,31393,2,25825,2634889,927040,82784,6260,474,726.12728,12309.35111306,73858,81933,160117,213605,1089,243032,312364,57218,6385.2721648,1302446,56,42.5,29.13,100.02,NA
2024-2025,Nov,31,UTTAR PRADESH,3179,MAHOBA,888025,238.293266961786,46,56,1695.400655285,3872,1,9039,1048843,238596,26584,1236,96,124.18951,4318.912415285,22785,31275,51227,92675,1390,81229,139603,12911,2499.32225,384651,56,39.41,35.22,100.26,NA
2024-2025,Nov,31,UTTAR PRADESH,3111,RAMPUR,2863254,236.189466142239,43,195,4889.361911179,5005,4,15947,3010521,603363,35046,1340,57,451.21547,12451.110859179,69433,79098,115650,144527,1804,162364,197053,20952,7110.53347799999,827571,24,60.97,15.8,100.5,NA
2024-2025,Nov,31,UTTAR PRADESH,3115,MEERUT,623410,237.199137318559,44,50,614.380038485,2711,17,6123,585245,268782,12854,5640,146,0.57085,2003.146979685,13047,14215,24783,29149,445,47685,55044,8834,1388.1960912,230981,20,57.39,22.47,113.64,NA
2024-2025,Nov,31,UTTAR PRADESH,3125,BAREILLY,2962695,241.348285225396,29,501,4283.289998773,12146,7,29847,2444607,503758,59664,1452,170,766.41185,10949.718923773,82452,97579,182078,261713,449,267428,365902,41993,5900.017075,505735,42,47.77,13.25,100.88,NA
2024-2025,Nov,31,UTTAR PRADESH,3129,SITAPUR,7100181,240.698024437848,35,821,13121.315743307,31776,11,46451,5440168,2025409,216719,4508,386,744.97,26960.662645407,152248,181694,368075,531821,2224,575611,796566,78227,13094.3769021,1761835,55,41.44,16.88,100.47,NA
2024-2025,Nov,31,UTTAR PRADESH,3132,LUCKNOW,1388037,238.590281444756,31,117,1496.376850747,3629,4,11743,632522,405982,59865,1853,261,316.75313,3322.266000747,20198,22761,63838,92481,448,128027,189201,15372,1509.13602,190657,20,49.98,11.11,100.4,NA
2024-2025,Nov,31,UTTAR PRADESH,3136,KANPUR DEHAT,2204400,240.034220674792,35,204,2218.086354311,8612,0,17698,1462496,559505,51305,1698,129,410.55816,6139.135390311,41140,46991,89748,121003,465,150107,194296,26310,3510.490876,487645,52,50.07,12.45,100.61,NA
2024-2025,Nov,31,UTTAR PRADESH,3142,BANDA,3229023,241.580907817929,40,450,3853.899551785,26733,2,25810,2285260,391947,58260,404,43,260.2359,9634.887305785,57029,70887,140252,226443,867,217771,337115,52543,5520.751854,1197959,82,41.81,5.79,100.67,NA
2024-2025,Nov,31,UTTAR PRADESH,3144,PRATAPGARH,4099590,239.385353642089,43,205,5715.814195605,17180,44,34650,4297424,1618815,92862,11790,523,901.22195,16904.439785505,98687,102837,208221,235826,4300,330167,375749,51830,10287.4036399,2199481,46,59.11,17.5,101.25,NA
2024-2025,Nov,31,UTTAR PRADESH,3145,PRAYAGRAJ,4412331,238.238195542843,38,477,5296.978207482,29325,1,32408,4096872,1862237,170205,1981,178,1286.82644,16344.118573982,107678,127905,249761,355892,4375,418059,566532,61733,9760.3139265,1931712,55,43.07,24.12,100.28,NA
2024-2025,Nov,31,UTTAR PRADESH,3150,SULTANPUR,4679748,238.250837055205,43,456,10257.501315208,27440,2,31232,4886655,1134936,69106,10911,499,607.09166,22507.089416708,112331,119248,211306,246700,1608,296699,341449,58672,11642.4964415,2449926,64,28.6,18.43,100.11,NA
2024-2025,Nov,31,UTTAR PRADESH,3152,MAHARAJGANJ,4470746,242.246938954936,34,513,8116.934047735,26904,0,29967,4993262,1104943,77953,24240,1806,751.42615,20964.384546735,144862,171478,238485,348015,1468,350106,492954,56871,12096.024349,2557856,55,33.9,22.28,100.27,NA
2024-2025,Nov,31,UTTAR PRADESH,3153,BASTI,6991129,240.205353315071,45,298,12432.266331122,20487,1,27548,8325402,2192994,98541,519,19,623.34668,33053.674300122,181242,203935,289790,363799,5087,396496,490511,48035,19998.061289,4351814,31,52.37,23.46,99.95,NA
2024-2025,Nov,31,UTTAR PRADESH,3155,DEORIA,3629314,239.586702963637,39,188,3916.193945546,5398,21,22326,2555677,595382,38394,92533,5593,501.72019,10540.976398246,64227,67430,132547,154413,1390,205801,235226,27724,6123.0622627,1054693,23,55,21.63,99.98,NA
2024-2025,Nov,31,UTTAR PRADESH,3162,MIRZAPUR,3914933,237.56344294042,38,456,3715.754880925,10930,0,24333,2989314,1254267,110170,36527,2855,583.97326,11401.245399625,76811,95597,165975,250480,2030,265978,382149,35263,7101.5172587,1506782,48,45.56,27.32,100.59,NA
2024-2025,Nov,31,UTTAR PRADESH,3165,BAGHPAT,30498,233.666318621742,18,3,3.9257527,140,1,2340,24901,6729,1785,54,7,2.61618,64.7271827,1324,1452,4321,5623,2,17064,20961,2480,58.18525,8016,9,62.67,4.25,111.87,NA
