fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2022-2023,Dec,31,UTTAR PRADESH,3112,SAHARANPUR,1745385,204.279896831193,29,126,1501.340724691,8937,3,16542,1701871,805423,81026,2997,278,267.18226,5245.103307691,56779,66553,107202,154647,1879,168186,239760,25479,3476.580323,613861,26,61.15,70.58,103.34,NA
2022-2023,Dec,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,949662,202.377823179954,43,21,437.509962505,2278,0,5813,917724,254682,14718,798,105,51.12495,2345.904766505,21295,23135,42835,48643,1278,110450,138395,8091,1857.269854,306582,14,68.1,80.38,112.13,NA
2022-2023,Dec,31,UTTAR PRADESH,3116,GHAZIABAD,64,590.199501246883,6,0,0,10,143,20,401,125,8,0,0,0,2.3667,60,69,32,40,0,17259,26197,30,2.3667,158,20,35.18,53,100,NA
2022-2023,Dec,31,UTTAR PRADESH,3129,SITAPUR,8622342,205.639475136457,41,520,11344.90138795,31411,3,46265,8429772,3332462,240610,5682,324,1070.58556,29750.42584395,201468,254583,393866,572813,11516,674591,1122065,77676,17334.938896,2530522,56,51.98,52.71,110.48,NA
2022-2023,Dec,31,UTTAR PRADESH,3149,AYODHYA,3938991,203.912728887648,42,114,3609.014982532,12111,0,17673,3862277,1549283,92820,5485,363,626.94659,12111.636000432,91784,105484,174693,240493,4595,258452,392781,29784,7875.6744279,1713016,39,64.22,64.67,100.97,NA
2022-2023,Dec,31,UTTAR PRADESH,3152,MAHARAJGANJ,7049639,204.842881245183,42,528,6878.707223351,15244,0,30247,6957242,1590780,88572,34936,2034,605.48279,21735.604981351,161863,198246,265805,385651,10711,369885,573799,45491,14251.414968,3185218,28,66.51,74.4,100.89,NA
2022-2023,Dec,31,UTTAR PRADESH,3153,BASTI,9938720,209.009742495715,48,206,7720.628453406,23545,15,29522,9763022,2510552,103558,587,11,648.75805,28775.053645406,199384,228215,298826,377335,7532,481536,670076,53067,20405.667142,4821746,30,72.49,72.31,107.57,NA
2022-2023,Dec,31,UTTAR PRADESH,3161,VARANASI,1817877,205.644153132082,33,133,2258.203333224,10943,3,14737,1787581,692099,55114,10707,967,310.53556,6244.794702224,53019,67420,95729,147048,1812,182037,295914,25680,3676.055809,871439,42,52.22,57.97,101.31,NA
2022-2023,Dec,31,UTTAR PRADESH,3163,SONBHADRA,3473178,207.144464387428,35,326,5068.03469051,18200,2,38836,3800947,1245087,90982,1119282,88964,482.92751,13424.41350531,107991,147359,195251,299611,4895,269301,524786,57036,7873.4513048,1993709,72,86.97,82.19,101.43,NA
2022-2023,Dec,31,UTTAR PRADESH,3165,BAGHPAT,56749,209.520967976182,26,1,13.99292662,136,3,1795,55084,18303,2215,23,13,3.28468,132.69013662,2064,2279,5559,7135,24,27594,37810,1931,115.41253,13454,8,44.3,72.31,110.98,NA
