fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2022-2023,Dec,31,UTTAR PRADESH,3169,AURAIYA,1775166,203.554083173922,40,43,2564.180106828,6321,0,12740,1738165,788446,45856,6802,360,264.13528,6366.421216628,42656,47958,82109,103218,1693,159407,219997,19061,3538.1058298,422939,28,52.58,65.41,112,NA
2022-2023,Dec,31,UTTAR PRADESH,3170,KAUSHAMBI,1990617,201.613308881591,39,105,3930.469018628,9245,45,17198,1936331,946885,67699,1190,74,231.2747,8065.644718628,49568,60646,97848,137978,1788,136581,245647,26443,3903.901,879874,62,65.79,72.36,100.88,NA
2022-2023,Dec,31,UTTAR PRADESH,3175,BALRAMPUR,3889907,198.48610230869,44,99,3058.807464994,12449,1,20363,3861627,975194,39686,60656,2885,613.41295,11337.013332994,86317,96140,130258,155969,4540,213721,292810,32812,7664.792918,1466941,41,70.43,72.14,100.69,NA
2022-2023,Dec,31,UTTAR PRADESH,3177,CHITRAKOOT,2172883,202.756434307366,40,53,4230.081177667,10230,3,15476,2117726,968428,75365,454,25,330.57141,8854.478313667,52480,74372,105234,172074,3192,156212,283289,25706,4293.825726,960343,65,59.08,59.69,104.06,NA
2022-2023,Dec,31,UTTAR PRADESH,3184,SAMBHAL,2525555,201.072079996284,37,216,2628.043717074,10510,40,11459,2540168,735066,40767,736,31,337.13299,8072.745340074,67667,78999,103469,131448,3009,185288,260813,21969,5107.568633,622267,20,66.02,70.25,101.76,NA
2022-2023,Aug,31,UTTAR PRADESH,3109,BIJNOR,2575010,195.927988476236,22,207,2773.82586968,3276,6,24127,2520010,1004763,120993,7615,692,248.66743,7959.89820208,111562,134737,195539,279415,1000,279528,443129,27403,4937.4049024,693810,27,52.4,61.47,102.9,NA
2022-2023,Aug,31,UTTAR PRADESH,3110,MORADABAD,2043031,198.355951146156,33,126,1661.208723831,5707,3,12854,1950389,404142,37776,1477,122,183.32269,5713.244065831,58684,68047,127282,172298,676,189435,306913,18561,3868.712652,491878,28,79.03,82.43,101.29,NA
2022-2023,Aug,31,UTTAR PRADESH,3119,MATHURA,1816614,198.71843886697,33,58,1298.69512826,9427,16,14288,1786113,482252,41255,3655,274,125.46299,4973.49398826,53661,66458,97076,133313,634,153182,291642,23715,3549.33587,656695,8,68.26,72.6,101.03,NA
2022-2023,Aug,31,UTTAR PRADESH,3139,JHANSI,2752279,197.413015092285,48,164,2601.698201254,6522,0,16073,2731263,887323,69660,22514,1653,219.83107,8213.397909654,56644,82102,123145,196480,5366,178272,364561,22595,5391.8686384,1045900,33,83.88,85.36,100.49,NA
2022-2023,Aug,31,UTTAR PRADESH,3141,HAMIRPUR,2097574,198.388407150415,38,62,2751.010360515,4649,0,16632,2058286,440533,47236,308,51,155.96559,6990.376760515,53148,76514,118624,194694,1868,171117,360435,21281,4083.40081,842518,53,71.73,86.16,104.34,NA
2022-2023,Aug,31,UTTAR PRADESH,3148,BARABANKI,4043416,200.054755273164,38,148,6344.815035141,11075,0,28710,3968016,1739536,144866,441,49,426.86797,14709.887703141,102180,120940,234981,319128,2936,381844,639760,39785,7938.204698,1336174,37,74.45,76.92,101.02,NA
2022-2023,Aug,31,UTTAR PRADESH,3158,JAUNPUR,6812222,197.038628512483,37,242,4651.94594636901,42388,12,38603,6733521,2540119,127574,2577,5,552.0361,18471.619475369,180650,189100,295768,324138,1577,506507,687074,80991,13267.637429,3271230,41,78.35,76.95,100.1,NA
2022-2023,Aug,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,7310,201.958199804932,17,0,0,23,5,248,7177,2339,381,105,18,0,14.49454,414,423,965,1085,0,16956,19801,271,14.49454,1173,9,0.61,92.33,103.87,NA
2022-2023,Aug,31,UTTAR PRADESH,3165,BAGHPAT,27133,184.356178529086,17,1,12.08126662,45,25,1756,26147,8543,2188,20,13,2.06595,62.35082662,1492,1628,5450,7013,0,27440,39114,1801,48.20361,6504,8,43.67,72.82,116.02,NA
2022-2023,Aug,31,UTTAR PRADESH,3166,HATHRAS,964788,195.098924192563,29,29,443.38574637,2210,8,7813,946266,321921,26875,830,51,116.05894,2405.59947237,31798,36794,61073,80368,323,96979,142708,10023,1846.154786,172194,10,84.16,90.54,106.6,NA
2022-2023,Aug,31,UTTAR PRADESH,3168,KANNAUJ,1370876,186.878031209722,27,135,747.862525465,3725,5,13098,1338365,429908,42456,16,0,175.37862,3424.351307865,48477,54699,91540,117537,444,162904,246971,16823,2501.1101624,230826,32,79.85,83.28,105.2,NA
2022-2023,Aug,31,UTTAR PRADESH,3176,SHRAVASTI,1595856,197.862988492041,36,106,762.922739406001,3486,0,11257,1576561,464768,37253,11961,1157,118.02496,4000.378409406,43257,53538,87639,124101,623,136685,232496,14743,3119.43071,583123,38,84.65,88.62,103.23,NA
2022-2023,Aug,31,UTTAR PRADESH,3182,HAPUR,102731,189.414145692159,24,10,1.3421718,45,0,1547,99168,32698,4566,0,4,3.43308,192.6134718,4032,4319,9603,10625,0,19939,24117,1592,187.83822,32361,15,37.06,73.2,104.61,NA
2022-2023,Oct,31,UTTAR PRADESH,3128,KHERI,5386286,210.895321343883,34,425,7389.917225146,35746,1,25614,4934449,1933443,179559,70556,7807,463.43095,18259.870250246,142187,171200,325466,458952,5077,545711,870932,61360,10406.5220751,1191084,54,70.32,69.94,101.13,NA
2022-2023,Oct,31,UTTAR PRADESH,3137,KANPUR NAGAR,1362548,201.308413245088,34,141,620.930417477,5545,0,11816,1264499,557073,41940,15247,1106,175.97353,3342.446819877,36549,43326,69681,97065,1006,118492,264771,17361,2545.5428724,308763,34,80.21,90.92,107.87,NA
2022-2023,Oct,31,UTTAR PRADESH,3152,MAHARAJGANJ,6105054,215.471307357599,36,487,5754.087964611,12200,0,30127,5513633,1264791,88541,28542,2032,426.57878,18060.963852611,151030,182976,265449,385254,4931,362792,595444,42327,11880.297108,2509594,29,70.22,78.95,100.11,NA
2022-2023,Oct,31,UTTAR PRADESH,3153,BASTI,9579064,212.122411166283,45,198,5986.713284236,20608,15,30652,8688227,2236777,103462,575,11,462.26094,24878.650824236,189871,216920,298421,376884,5379,480405,718816,51260,18429.6766,4274617,31,76.1,76.05,107.48,NA
2022-2023,Oct,31,UTTAR PRADESH,3159,BALLIA,4504765,206.364299720186,39,156,2573.448649632,17783,8,30384,4182421,894793,56221,167159,9317,458.51455,11662.987007632,106085,119822,184062,230824,4077,369510,535882,48167,8631.023808,1729374,39,76.43,76.99,100.35,NA
2022-2023,Oct,31,UTTAR PRADESH,3160,GHAZIPUR,6526342,203.28511309461,35,210,4969.366266482,17082,0,33173,6105596,1516909,106951,58056,3548,427.53064,17808.664640182,173992,203436,291405,390338,2258,457842,686145,50255,12411.7677337,2526399,49,60.69,59.19,125.71,NA
2022-2023,Oct,31,UTTAR PRADESH,3162,MIRZAPUR,3611953,206.124887137121,37,132,5721.123422575,20489,1,22665,3395935,1493641,125876,35681,3085,328.73123,13049.721838575,91558,121032,192579,289556,3675,320554,560167,43154,6999.867186,1596551,57,67.6,63.31,101.68,NA
2022-2023,Oct,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,10213,203.56929451532,20,0,0,43,4,230,9171,2686,384,132,18,0,18.66934,437,447,968,1088,0,16967,19771,273,18.66934,1608,9,0.46,92.81,110.33,NA
2022-2023,Oct,31,UTTAR PRADESH,3170,KAUSHAMBI,1678301,202.912118291408,35,92,2060.180434898,8743,45,15122,1574958,784510,67675,958,74,142.20033,5398.161404898,44857,54482,97764,137888,912,136281,275068,23865,3195.78064,717649,62,70.12,75.2,100.42,NA
2022-2023,Oct,31,UTTAR PRADESH,3177,CHITRAKOOT,1894348,201.587757318103,37,47,3677.568530822,7111,3,14468,1779218,811555,75324,421,25,177.84502,7442.099214822,48036,67866,105119,171928,1946,155827,296784,21579,3586.685664,810312,60,72.98,73.71,104.3,NA
2022-2023,Feb,31,UTTAR PRADESH,3125,BAREILLY,4309305,207.820032356902,37,951,4356.741668126,15322,0,26913,4302946,913214,66832,2782,154,679.3423,13978.467737626,115932,141203,208067,291728,5373,288906,416700,42235,8942.3837695,851489,41,66.3,78.27,102.61,NA
2022-2023,Feb,31,UTTAR PRADESH,3129,SITAPUR,9416353,203.638230849366,44,612,11663.338099756,34981,3,47540,9508902,3759708,240848,6123,325,1070.58556,32097.683465756,215873,273789,394554,573662,13687,677736,1085347,82521,19363.759806,2860111,58,52.61,53.22,115.45,NA
2022-2023,Feb,31,UTTAR PRADESH,3132,LUCKNOW,1589243,196.004711139999,40,104,2889.449695563,4724,5,12219,1547774,1015283,73181,4359,308,297.208,6220.367653363,38017,45417,80448,113455,2803,168278,305403,16943,3033.7099578,461010,38,62.43,65.34,109.27,NA
2022-2023,Feb,31,UTTAR PRADESH,3134,FARRUKHABAD,2591172,202.643932120499,48,88,2759.082524563,8207,6,15311,2597662,556390,23120,630,0,314.34342,8337.430364563,53491,57039,79393,90700,4965,118444,141293,23518,5264.00442,507920,38,80.65,80.25,108.06,NA
2022-2023,Feb,31,UTTAR PRADESH,3136,KANPUR DEHAT,1985412,208.348913273936,37,201,2116.84977556,11516,0,19957,1947915,825818,56171,1671,133,374.28144,6549.59094956,52067,61128,99489,132466,1733,164242,289737,31473,4058.459734,515254,45,59.91,66.58,107.25,NA
2022-2023,Feb,31,UTTAR PRADESH,3140,LALITPUR,4050741,208.75231997074,46,159,4887.05437311001,19055,0,18204,4177682,1067742,62975,311245,18578,313.01949,13921.08195911,89693,131024,143330,238791,13088,191140,341334,37259,8721.008096,1712793,58,63.12,67.07,101.95,NA
2022-2023,Feb,31,UTTAR PRADESH,3143,FATEHPUR,4547159,206.352648445929,45,222,7099.344560291,20550,0,20920,4580422,1778165,88326,2338,78,657.02179,17208.188457291,100773,113523,169575,214409,4872,289096,375007,41470,9451.822107,1831461,58,56.61,74.36,101.66,NA
2022-2023,Feb,31,UTTAR PRADESH,3147,GONDA,5065362,204.617274064874,44,140,3126.193753782,14576,4,29630,4998094,1319488,62925,5041,223,699.3131,14052.470551782,111521,120359,204373,234884,6594,394702,459710,44206,10226.963698,1978245,43,68.88,70.42,105.92,NA
2022-2023,Feb,31,UTTAR PRADESH,3149,AYODHYA,4305190,198.715396772938,45,118,3783.620995472,12896,0,18971,4381385,1742271,92865,6299,363,626.94659,13117.054172372,96715,111801,174844,240676,5520,259021,389178,31867,8706.4865869,1949528,42,62.45,62.2,106.95,NA
2022-2023,Feb,31,UTTAR PRADESH,3150,SULTANPUR,6236195,201.952984735568,48,205,6703.340555517,25070,5,27534,6383336,1867498,67859,10772,343,581.39919,20176.077323217,131004,148830,184482,219653,12847,293063,407328,52604,12891.3375777,2744726,54,52.89,55.19,104.63,NA
2022-2023,Feb,31,UTTAR PRADESH,3154,GORAKHPUR,5681935,208.210620957671,48,150,5190.679101817,23556,48,27023,5654846,1977982,96870,7606,346,669.96444,17634.633512617,117499,129325,224039,275265,12125,361664,478271,50579,11773.9899708,2538681,51,64.45,63.33,101.65,NA
2022-2023,Feb,31,UTTAR PRADESH,3155,DEORIA,4176822,210.4228566712,46,96,5784.92074514,17417,6,23560,4216138,991573,43370,145077,6103,646.65351,15303.29227594,90252,96229,149063,170100,7019,229426,275024,40977,8871.7180208,1608128,30,63.46,63.87,100.11,NA
2022-2023,Feb,31,UTTAR PRADESH,3156,MAU,4574791,206.179896767628,42,325,4047.01916591,16770,5,19754,4575309,1616927,82991,68841,3145,500.02148,13980.40801891,108644,124415,182457,230832,5543,271003,351765,36524,9433.367373,2307660,44,60.17,59.48,102.23,NA
2022-2023,Feb,31,UTTAR PRADESH,3157,AZAMGARH,6789059,199.760469339317,42,220,9041.11061834999,33270,3,29554,6961978,2586698,140213,15914,662,989.29327,23937.68381645,163915,175976,301075,349573,7962,521075,640146,62824,13907.2799281,3150916,56,54.17,57.19,106.28,NA
2022-2023,Feb,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,10906,210.950642723972,22,0,0,91,4,193,10191,3019,393,139,18,0,21.49798,463,476,987,1108,0,17019,19619,284,21.49798,1797,10,0.83,90.1,113.88,NA
2022-2023,Feb,31,UTTAR PRADESH,3168,KANNAUJ,2219174,206.98676533589,35,161,2035.578538684,5776,4,15211,2190450,700588,42565,16,0,302.61789,6872.138029984,61662,70630,91984,118008,3040,165648,218427,20987,4533.9416013,383485,38,73.2,72.19,107.41,NA
2022-2023,Feb,31,UTTAR PRADESH,3171,CHANDAULI,3883391,204.778191948256,43,235,4354.101236324,13301,1,23056,3897665,1185727,65483,22563,929,452.7626,12788.431751524,89211,120855,132865,200896,3068,218589,367621,36357,7981.5679152,1384414,38,64.78,62.82,110.2,NA
2022-2023,Feb,31,UTTAR PRADESH,3175,BALRAMPUR,4150465,199.788841632344,47,110,3256.07250552,16385,1,17995,4275128,1088171,39697,64363,2885,613.41295,12410.71416502,90139,100650,130328,156040,5852,214197,288259,34380,8541.2287095,1644191,43,66.54,66.37,102.55,NA
2022-2023,Feb,31,UTTAR PRADESH,3179,MAHOBA,1159649,200.455099790164,45,25,1993.072358127,6107,1,12197,1165195,324390,31839,1670,113,170.27737,4499.042528127,25434,38458,56618,103616,2639,80285,164052,18304,2335.6928,448674,61,63.79,59.84,106.62,NA
2022-2023,Feb,31,UTTAR PRADESH,3183,SHAMLI,486335,211.614551684105,43,10,166.102403175,2542,0,3816,494417,70121,4248,527,42,12.95827,1225.318991175,11383,13152,21415,25993,688,51930,63966,6358,1046.258318,145091,15,71.38,85.25,100.99,NA
2022-2023,June,31,UTTAR PRADESH,3116,GHAZIABAD,2,207.287671232877,8,0,0,0,144,29,219,70,8,0,0,0,0.45396,26,33,32,40,0,17259,26225,29,0.45396,68,17,50.77,100,100,NA
2022-2023,June,31,UTTAR PRADESH,3121,FIROZABAD,1036671,156.436892528015,21,62,70.74524,1285,19,20314,1019903,317875,29715,2030,104,70.20385,1736.45365,47230,51800,85104,94073,38,144150,245578,21599,1595.50456,360206,23,70.29,71.02,100.36,NA
2022-2023,June,31,UTTAR PRADESH,3129,SITAPUR,3363179,183.141191705102,25,292,424.77526,15900,3,50678,3277388,1306536,238900,2320,318,349.21446,6776.23716,126714,154298,389415,567457,424,663081,1280943,66578,6002.24744,991803,58,56.53,51.12,104.39,NA
2022-2023,June,31,UTTAR PRADESH,3139,JHANSI,1724469,155.921355674697,38,127,92.97164,2333,0,19267,1711325,559093,69503,13573,1643,118.50007,2879.79285,44212,63631,122823,196022,1674,177593,373971,21600,2668.32114,670718,34,83.78,82.59,99.91,NA
2022-2023,June,31,UTTAR PRADESH,3141,HAMIRPUR,1124527,157.209569758893,30,42,70.40396,2742,2,17330,1100383,225503,46986,100,47,72.08425,1872.39559,36327,51501,117784,193371,414,169414,370028,20072,1729.90738,456444,53,71.75,82.22,104.57,NA
2022-2023,June,31,UTTAR PRADESH,3142,BANDA,953586,168.104951993055,25,25,93.00666,8064,2,25753,922679,267312,68913,678,23,86.73031,1730.80606,36187,47692,150461,248491,77,270270,552934,33817,1551.06909,449396,68,69.48,42.88,102.22,NA
2022-2023,June,31,UTTAR PRADESH,3144,PRATAPGARH,2124114,149.161797536408,26,89,47.74605,13120,71,57632,2066495,889921,105287,7110,489,181.16603,3311.333168,76901,82569,215955,247670,62,384439,587772,70752,3082.421088,1012684,53,67.92,58.15,110.47,NA
2022-2023,June,31,UTTAR PRADESH,3161,VARANASI,835112,171.685214147679,21,98,69.99973,2066,9,21096,823287,318794,54934,5413,965,84.2905,1567.752279,38264,46790,95120,146320,46,180555,317128,23162,1413.462049,414188,44,51.67,54.85,101.31,NA
2022-2023,June,31,UTTAR PRADESH,3162,MIRZAPUR,1771356,160.385787223183,27,94,209.48184,4362,4,33957,1747681,780582,125618,17844,3081,156.79655,3169.31032,64001,83420,191912,288750,230,318458,594172,38319,2803.03193,830921,57,73.24,63.82,102.44,NA
2022-2023,June,31,UTTAR PRADESH,3169,AURAIYA,677895,157.172579567928,23,31,36.22799,596,4,15990,662390,304157,45658,2588,359,94.38598,1171.7094198,28062,30800,81581,102567,41,157988,226638,16586,1041.0954498,158257,30,61.09,73.07,121.27,NA
2022-2023,June,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,3574413,150.292676168179,32,103,148.57287,4966,14,59971,3536209,1209213,80465,4062,209,143.08555,5606.321561,109648,123349,182496,220348,453,242895,441335,64937,5314.663141,1832012,65,75.72,77.35,102.09,NA
2022-2023,June,31,UTTAR PRADESH,3176,SHRAVASTI,1056069,154.759820423266,28,92,91.7946,2488,0,10845,1045347,311587,37186,9159,1157,59.83946,1769.4112,36747,44511,87323,123691,84,136283,237063,13333,1617.77714,384242,39,84.73,85.64,103.15,NA
2022-2023,June,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,2100802,150.580784392814,27,83,242.52376,6047,2,40628,2067663,808967,90639,5778,515,146.17309,3502.200014,76342,87669,166028,221954,141,279511,487575,46675,3113.503164,907789,47,81.58,74.26,101.24,NA
2022-2023,June,31,UTTAR PRADESH,3180,KASHGANJ,777841,161.145828901734,21,119,77.33596,878,6,7762,761200,166609,28725,529,72,83.26396,1387.2419696,35125,39313,88431,123777,18,122857,201789,8640,1226.6420496,164261,12,53.16,73.17,100.4,NA
2022-2023,June,31,UTTAR PRADESH,3183,SHAMLI,129984,136.939690390846,23,3,4.73362,1066,13,4098,127774,20000,4179,85,28,3.16062,182.86756,5532,6137,20894,25371,0,50637,65354,5164,174.97332,32791,11,73.35,84.51,100.67,NA
2022-2023,July,31,UTTAR PRADESH,3115,MEERUT,445514,154.627522518424,31,20,237.909163915,203,38,5176,439640,179883,13606,2628,152,3.91886,921.632463915,13745,15432,25666,30487,12,59216,84800,5379,679.80444,166962,14,48.37,80.35,106.92,NA
2022-2023,July,31,UTTAR PRADESH,3126,PILIBHIT,1943693,191.792132255761,25,244,1396.955110963,3990,4,13980,1902919,353198,47517,5088,600,146.06458,5192.668616163,76063,92041,163429,244933,465,230126,395994,17970,3649.6489252,340969,21,62.07,72.76,102.03,NA
2022-2023,July,31,UTTAR PRADESH,3138,JALAUN,3726870,175.669099801191,38,330,6844.873249205,4000,1,30925,3681920,1214533,84270,225,9,108.10036,13420.969328605,94505,131485,158042,239695,1376,240741,526348,34925,6467.9957194,1355756,39,59.46,62.55,106.03,NA
2022-2023,July,31,UTTAR PRADESH,3140,LALITPUR,2198715,190.908411685189,33,110,3166.15601863301,3261,0,29476,2321366,605159,62847,173532,18555,127.86707,7725.70604863301,69208,98295,142916,238099,2020,189977,367504,32737,4431.68296,974566,56,80.27,87.16,101.07,NA
2022-2023,July,31,UTTAR PRADESH,3141,HAMIRPUR,1766994,178.312320385008,35,59,2751.010360515,3028,0,17942,1734613,367628,47110,221,47,79.71725,5923.756300515,48328,69141,118225,194067,1158,170155,368097,20970,3093.02869,713631,53,70.56,85.57,104.59,NA
2022-2023,July,31,UTTAR PRADESH,3143,FATEHPUR,2276876,180.291378969333,32,121,4490.044465113,10157,1,23517,2224618,895762,87850,1004,78,198.56869,8699.407624113,69093,76685,168003,212674,412,283785,476284,33674,4010.794469,922645,58,68.01,72.97,100.41,NA
2022-2023,July,31,UTTAR PRADESH,3147,GONDA,3306553,174.314423064449,34,122,1510.75625956,6752,11,26835,3237606,848569,62317,3484,223,195.2821,7349.65257956,94480,101326,202202,232597,656,387286,534325,33587,5643.61422,1245014,31,78.34,80.9,103.31,NA
2022-2023,July,31,UTTAR PRADESH,3148,BARABANKI,3463606,188.573452234872,35,134,6344.815035141,7445,0,31796,3401582,1489283,144549,360,49,228.38703,12987.682673141,95561,112561,234245,318278,1712,380224,639599,39241,6414.480608,1155173,37,74.4,76.68,101.21,NA
2022-2023,July,31,UTTAR PRADESH,3149,AYODHYA,2242355,186.606127946159,30,83,2227.384253042,4539,1,21265,2201129,903881,92419,2926,360,237.05477,6571.880621042,73056,82211,173726,239360,397,256950,401614,25804,4107.441598,989437,38,68.84,69.03,100.27,NA
2022-2023,July,31,UTTAR PRADESH,3150,SULTANPUR,3198830,180.641992435393,34,118,3664.24029015,16604,5,22293,3141472,962572,66898,6036,335,192.51058,9531.56848275,91660,101743,180748,215626,1286,279680,524082,38897,5674.8176126,1320391,50,64.21,62.63,101.06,NA
2022-2023,July,31,UTTAR PRADESH,3155,DEORIA,2502119,189.19580213872,34,73,2982.162457347,7868,11,29439,2525810,607566,43176,89366,6064,237.89856,7998.787507347,72224,76362,148111,169027,582,226949,325200,37307,4778.72649,941836,31,83.27,82.65,100.01,NA
2022-2023,July,31,UTTAR PRADESH,3158,JAUNPUR,5846321,181.440976640553,33,222,4651.94594636901,35466,12,43445,5783356,2194726,127503,2344,5,273.92515,15419.248705369,171880,179636,295522,323887,526,504855,697420,78911,10493.377609,2805177,42,79.8,76.6,100.1,NA
2022-2023,July,31,UTTAR PRADESH,3160,GHAZIPUR,4421030,152.255562782075,29,177,2678.951648415,4887,8,42338,4378933,1115164,106660,41400,3514,203.22253,9549.343261415,148203,172645,290122,388935,541,453157,698421,47225,6667.169083,1800914,50,70.51,66.73,136.32,NA
2022-2023,July,31,UTTAR PRADESH,3163,SONBHADRA,2312682,188.187216452838,27,268,2893.874328606,7210,2,41165,2488519,833175,90769,710639,88804,189.21775,7766.166715606,88958,119340,194762,298928,1164,266594,607860,48375,4683.074637,1315692,69,91.55,86,101.3,NA
2022-2023,July,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,5456,124.536964252293,14,0,0,23,8,247,5343,1816,379,84,18,0,6.65401,373,380,947,1067,0,16927,19772,270,6.65401,796,10,1.26,84.16,105.38,NA
2022-2023,July,31,UTTAR PRADESH,3165,BAGHPAT,17582,145.871444755829,14,1,12.08126662,24,101,1719,16771,5350,2180,18,13,0.70818,37.25354662,1177,1274,5385,6941,0,27359,39703,1743,24.4641,4034,8,42.94,68.52,123.28,NA
2022-2023,July,31,UTTAR PRADESH,3177,CHITRAKOOT,1165898,177.453985631562,29,39,2967.563278522,3111,3,17359,1136658,530982,75186,288,23,100.73988,5085.348082522,39009,54164,104802,171499,523,155164,315581,20470,2017.044924,525142,59,69.78,70.37,104.73,NA
2022-2023,July,31,UTTAR PRADESH,3181,AMETHI,2358719,184.207681534198,33,76,3119.286337741,5834,0,24087,2322152,717157,69271,397,2,197.07199,7593.940688641,69269,82829,155727,212779,316,255832,418959,29921,4277.5823609,869588,47,59.4,60.31,103.55,NA
2022-2023,Nov,31,UTTAR PRADESH,3111,RAMPUR,2919120,205.460793496712,40,109,2975.346538631,5372,3,17033,2837088,547588,35855,1460,58,255.12346,9059.573515631,69321,76401,115293,140913,2039,175148,233293,22405,5829.103517,567838,20,54.31,58.78,102.6,NA
2022-2023,Nov,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,886751,200.059286080657,41,19,308.263625819,1759,0,5891,853934,237975,14699,771,105,35.81039,2052.448279819,20494,22231,42738,48528,1032,109990,141814,7650,1708.374264,284461,11,69.59,83.13,111.63,NA
2022-2023,Nov,31,UTTAR PRADESH,3118,ALIGARH,2949061,202.816529655866,32,196,2660.621445247,12176,1,21954,2881403,731578,43824,3328,233,135.2925,8639.875515247,88603,99737,138273,167648,1976,236119,320118,34130,5843.96157,663042,24,75.81,83.85,102.77,NA
